contrast,metric,delta,ci_low,ci_high,wins,losses,ties,sign_p
PB-soft vs clean anchor,top-1 success,0.1467236467236467,0.1168091168091168,0.17663817663817663,116,13,573,7.773637554307045e-22
PB-soft vs clean anchor,PoseBusters valid-all,-0.014245014245014245,-0.04131054131054131,0.01282051282051282,43,53,606,0.3583976321916262
PB-soft vs raw selector,top-1 success,-0.0014245014245014246,-0.008547008547008548,0.005698005698005698,3,4,695,1.0
PB-soft vs raw selector,PoseBusters valid-all,0.1111111111111111,0.08831908831908832,0.13532763532763534,78,0,624,6.617444900424222e-24
raw selector vs clean anchor,top-1 success,0.14814814814814814,0.11823361823361823,0.1780982905982875,118,14,570,1.1384055538138498e-21
raw selector vs clean anchor,PoseBusters valid-all,-0.12535612535612536,-0.15527065527065528,-0.09544159544159544,19,107,576,4.523657277578305e-16
