n_total,n_retained,coverage,failure_rate,success_rate,failure_cp_upper,benchmark,selector,target_risk,public_pool_cases,manifest_cases,manifest_coverage,dataset
85,0,0.0,,,,posebench_public_pool_lodo,lodo_run_prior,0.45,,85,0.0,astex_diverse
99,0,0.0,,,,posebench_public_pool_lodo,lodo_run_prior,0.45,,189,0.0,dockgen
305,0,0.0,,,,posebench_public_pool_lodo,lodo_run_prior,0.45,,428,0.0,posebusters_benchmark
85,0,0.0,,,,posebench_public_pool_lodo,lodo_run_prior,0.5,,85,0.0,astex_diverse
99,96,0.9696969696969697,0.625,0.375,0.7076470804360884,posebench_public_pool_lodo,lodo_run_prior,0.5,,189,0.5079365079365079,dockgen
305,0,0.0,,,,posebench_public_pool_lodo,lodo_run_prior,0.5,,428,0.0,posebusters_benchmark
85,61,0.7176470588235294,0.2459016393442623,0.7540983606557377,0.35309707382588124,posebench_public_pool_lodo,lodo_run_prior,0.55,,85,0.7176470588235294,astex_diverse
99,99,1.0,0.6363636363636364,0.36363636363636365,0.7169832967348562,posebench_public_pool_lodo,lodo_run_prior,0.55,,189,0.5238095238095238,dockgen
305,303,0.9934426229508196,0.49834983498349833,0.5016501650165017,0.5471031767070222,posebench_public_pool_lodo,lodo_run_prior,0.55,,428,0.7079439252336449,posebusters_benchmark
85,85,1.0,0.3764705882352941,0.6235294117647059,0.4710641717443179,posebench_public_pool_lodo,lodo_run_prior,0.6,,85,1.0,astex_diverse
99,99,1.0,0.6363636363636364,0.36363636363636365,0.7169832967348562,posebench_public_pool_lodo,lodo_run_prior,0.6,,189,0.5238095238095238,dockgen
305,304,0.9967213114754099,0.5,0.5,0.5486590805505741,posebench_public_pool_lodo,lodo_run_prior,0.6,,428,0.7102803738317757,posebusters_benchmark
85,0,0.0,,,,posebench_public_pool_lodo,lodo_prior_physics_calibrated,0.3,,85,0.0,astex_diverse
99,0,0.0,,,,posebench_public_pool_lodo,lodo_prior_physics_calibrated,0.3,,189,0.0,dockgen
305,0,0.0,,,,posebench_public_pool_lodo,lodo_prior_physics_calibrated,0.3,,428,0.0,posebusters_benchmark
85,0,0.0,,,,posebench_public_pool_lodo,lodo_prior_physics_calibrated,0.35,,85,0.0,astex_diverse
99,0,0.0,,,,posebench_public_pool_lodo,lodo_prior_physics_calibrated,0.35,,189,0.0,dockgen
305,0,0.0,,,,posebench_public_pool_lodo,lodo_prior_physics_calibrated,0.35,,428,0.0,posebusters_benchmark
85,0,0.0,,,,posebench_public_pool_lodo,lodo_prior_physics_calibrated,0.4,,85,0.0,astex_diverse
99,0,0.0,,,,posebench_public_pool_lodo,lodo_prior_physics_calibrated,0.4,,189,0.0,dockgen
305,0,0.0,,,,posebench_public_pool_lodo,lodo_prior_physics_calibrated,0.4,,428,0.0,posebusters_benchmark
85,0,0.0,,,,posebench_public_pool_lodo,lodo_prior_physics_calibrated,0.45,,85,0.0,astex_diverse
99,8,0.08080808080808081,0.75,0.25,0.9536107360203888,posebench_public_pool_lodo,lodo_prior_physics_calibrated,0.45,,189,0.042328042328042326,dockgen
305,0,0.0,,,,posebench_public_pool_lodo,lodo_prior_physics_calibrated,0.45,,428,0.0,posebusters_benchmark
