benchmark,selector,target_risk,fold_dataset,threshold,calibration_retained_n,calibration_failure_rate,calibration_cp_upper,calibration_coverage
posebench_public_pool_lodo,blind_physics,0.4,posebusters_benchmark,,0,,,0.0
posebench_public_pool_lodo,blind_physics,0.45,astex_diverse,,0,,,0.0
posebench_public_pool_lodo,blind_physics,0.45,dockgen,,0,,,0.0
posebench_public_pool_lodo,blind_physics,0.45,posebusters_benchmark,,0,,,0.0
posebench_public_pool_lodo,blind_physics,0.5,astex_diverse,,0,,,0.0
posebench_public_pool_lodo,blind_physics,0.5,dockgen,,0,,,0.0
posebench_public_pool_lodo,blind_physics,0.5,posebusters_benchmark,,0,,,0.0
posebench_public_pool_lodo,blind_physics,0.55,astex_diverse,,0,,,0.0
posebench_public_pool_lodo,blind_physics,0.55,dockgen,,0,,,0.0
posebench_public_pool_lodo,blind_physics,0.55,posebusters_benchmark,,0,,,0.0
posebench_public_pool_lodo,blind_physics,0.6,astex_diverse,,0,,,0.0
posebench_public_pool_lodo,blind_physics,0.6,dockgen,,0,,,0.0
posebench_public_pool_lodo,blind_physics,0.6,posebusters_benchmark,,0,,,0.0
posebench_public_pool_lodo,lodo_logreg_antimemory_weighted,0.3,astex_diverse,,0,,,0.0
posebench_public_pool_lodo,lodo_logreg_antimemory_weighted,0.3,dockgen,,0,,,0.0
posebench_public_pool_lodo,lodo_logreg_antimemory_weighted,0.3,posebusters_benchmark,,0,,,0.0
posebench_public_pool_lodo,lodo_logreg_antimemory_weighted,0.35,astex_diverse,,0,,,0.0
posebench_public_pool_lodo,lodo_logreg_antimemory_weighted,0.35,dockgen,,0,,,0.0
posebench_public_pool_lodo,lodo_logreg_antimemory_weighted,0.35,posebusters_benchmark,,0,,,0.0
posebench_public_pool_lodo,lodo_logreg_antimemory_weighted,0.4,astex_diverse,,0,,,0.0
posebench_public_pool_lodo,lodo_logreg_antimemory_weighted,0.4,dockgen,,0,,,0.0
posebench_public_pool_lodo,lodo_logreg_antimemory_weighted,0.4,posebusters_benchmark,,0,,,0.0
posebench_public_pool_lodo,lodo_logreg_antimemory_weighted,0.45,astex_diverse,,0,,,0.0
posebench_public_pool_lodo,lodo_logreg_antimemory_weighted,0.45,dockgen,,0,,,0.0
posebench_public_pool_lodo,lodo_logreg_antimemory_weighted,0.45,posebusters_benchmark,0.7490534512203919,57,0.3333333333333333,0.44970603330518644,0.30978260869565216
posebench_public_pool_lodo,lodo_logreg_antimemory_weighted,0.5,astex_diverse,,0,,,0.0
posebench_public_pool_lodo,lodo_logreg_antimemory_weighted,0.5,dockgen,0.6427670007996688,313,0.4504792332268371,0.4985390419653917,0.8025641025641026
posebench_public_pool_lodo,lodo_logreg_antimemory_weighted,0.5,posebusters_benchmark,0.7009850337206576,76,0.39473684210526316,0.49544056574032624,0.41304347826086957
posebench_public_pool_lodo,lodo_logreg_antimemory_weighted,0.55,astex_diverse,0.6397853928771245,279,0.4982078853046595,0.5490744633358737,0.6905940594059405
