head,feature_blocks,n_candidates,positive_rate,auroc_success,auprc_success,brier_success,ece15_success,nll_success,risk_coverage_auc,mean_predictive_uncertainty,uncertainty_failure_spearman_proxy
hgb_reference_full,rank+confidence+structure+ligand+reference_neighborhood+physics,119198,0.6050688624382019,0.9899984735023206,0.9935735152099456,0.03490938641558216,0.0169491435552687,0.1264971558428054,0.8937780424818533,,
mlp_bce_no_reference_neighborhood,rank+confidence+structure+ligand+physics,119198,0.6050688624382019,0.98789328026532,0.9921413305459335,0.03840917860652379,0.019837231421165592,0.14049146548333002,0.892912914513352,0.07530052959918976,0.008994751152876141
logistic_full,rank+confidence+structure+ligand+reference_neighborhood+physics,119198,0.6050688624382019,0.9874968450405456,0.9913481385432159,0.03759994954706028,0.014679218194945493,0.1455997378061598,0.8924078485457593,,
deep_ensemble_mlp_full,rank+confidence+structure+ligand+reference_neighborhood+physics,119198,0.6050688624382019,0.9874387437304784,0.991731788392715,0.03989182173770745,0.020536573134500358,0.1430300639448982,0.8927284935923612,0.07813156396150589,0.003814896850282812
evidential_mlp_full,rank+confidence+structure+ligand+reference_neighborhood+physics,119198,0.6050688624382019,0.987294959150632,0.991590008539093,0.03957797944486699,0.009831792838274931,0.14602272646853082,0.8927732305887935,0.04367785155773163,0.02985622241898604
mlp_bce_full,rank+confidence+structure+ligand+reference_neighborhood+physics,119198,0.6050688624382019,0.9865778427775722,0.9909473173136791,0.04165392706929318,0.027531638672150895,0.16428470707550408,0.8921845560617735,0.060562677681446075,0.009883383587809935
