head,feature_blocks,n_seed_runs,auroc_success_mean,auroc_success_std,auroc_success_min,auroc_success_max,auprc_success_mean,auprc_success_std,auprc_success_min,auprc_success_max,brier_success_mean,brier_success_std,brier_success_min,brier_success_max,ece15_success_mean,ece15_success_std,ece15_success_min,ece15_success_max,nll_success_mean,nll_success_std,nll_success_min,nll_success_max,risk_coverage_auc_mean,risk_coverage_auc_std,risk_coverage_auc_min,risk_coverage_auc_max,mean_predictive_uncertainty_mean,mean_predictive_uncertainty_std,mean_predictive_uncertainty_min,mean_predictive_uncertainty_max,uncertainty_failure_spearman_proxy_mean,uncertainty_failure_spearman_proxy_std,uncertainty_failure_spearman_proxy_min,uncertainty_failure_spearman_proxy_max
hgb_reference_full,rank+confidence+structure+ligand+reference_neighborhood+physics,5,0.9899516651382914,9.739028778916252e-05,0.9897882231326228,0.9900298770446656,0.9935152189052993,7.010997250416439e-05,0.9933981507843492,0.9935735152099456,0.03483443910564152,0.0001888062925321547,0.0346134858748641,0.0351140233081013,0.016636148935882798,0.0002443674895553004,0.0163110895364505,0.0169491435552687,0.12677507680759695,0.0005546711055957112,0.126447664435523,0.1277456726862172,0.8937683010993129,7.818226189538275e-05,0.8936459455965872,0.8938425381851937,,,,,,,,
deep_ensemble_mlp_full,rank+confidence+structure+ligand+reference_neighborhood+physics,5,0.9876883586986647,0.00021897938550984392,0.9874387437304784,0.9879903933806832,0.9920129478447912,0.00020563112277691535,0.991731788392715,0.9922551668740068,0.039705342054681535,0.0003802771060326058,0.0391146571741155,0.0401335148076928,0.02034078514654688,0.00023790889035673007,0.0200423162002321,0.0206076890525308,0.1418709604949409,0.0013558900592472909,0.1399577015800615,0.1432790645127592,0.8929256960972431,0.000147024162708846,0.8927284935923612,0.8930719151919007,0.07653295546770092,0.0011802866500230619,0.0749028325080871,0.0781315639615058,0.17846991781779892,0.09798871435874972,0.0038148968502828,0.2297372079989262
mlp_bce_no_reference_neighborhood,rank+confidence+structure+ligand+physics,5,0.9876767178781565,0.00025329831694572493,0.987291620309728,0.9879161439327012,0.9919758220015791,0.00024235457209596445,0.9915635269536348,0.9921652527256564,0.039663767031524806,0.0007102476746412269,0.0384091786065237,0.0401213317521938,0.020992290682527857,0.0007806393019412239,0.0198372314211655,0.0217408408186596,0.14345645311222618,0.0019760924718218147,0.14049146548333,0.1459045261837675,0.8928508203660817,0.00018696182386535197,0.892549079747572,0.8930239950306166,0.07501246780157085,0.0011886152663403773,0.0731446966528892,0.076428934931755,0.2512119066551167,0.13634461723752447,0.0089947511528761,0.3380507822582347
logistic_full,rank+confidence+structure+ligand+reference_neighborhood+physics,5,0.9874968450405456,0.0,0.9874968450405456,0.9874968450405456,0.991348138543216,0.0,0.991348138543216,0.991348138543216,0.0375999495470602,0.0,0.0375999495470602,0.0375999495470602,0.014679218194945397,1.939479807224432e-18,0.0146792181949454,0.0146792181949454,0.1455997378061598,0.0,0.1455997378061598,0.1455997378061598,0.8924078485457592,1.2412670766236366e-16,0.8924078485457593,0.8924078485457593,,,,,,,,
evidential_mlp_full,rank+confidence+structure+ligand+reference_neighborhood+physics,5,0.9874751615132258,0.0003653602283994033,0.9870301888607728,0.9879578769404592,0.991865401649458,0.00029053640293004787,0.9915342102518584,0.9921814862107062,0.03913058603206856,0.0006012296000328159,0.038122971023306,0.0395779794448669,0.01009422451549978,0.0006524108423277736,0.0093163444604535,0.010886393778481,0.1439495806124227,0.0021227287121402642,0.1403610816303286,0.1460227264685308,0.8927161828222978,0.00021926415004407408,0.8923732113586081,0.8929081776038318,0.04422226995229716,0.00048726680488627783,0.0436778515577316,0.0448921844363212,0.01456405326694284,0.016672067481662584,-0.0057346824203928,0.032989427670567
mlp_bce_full,rank+confidence+structure+ligand+reference_neighborhood+physics,5,0.9870574159066449,0.0005213905372198952,0.9865778427775722,0.9878419510353064,0.9913998902539355,0.0004322517372131151,0.9909473173136792,0.9920260170912552,0.04146573348525418,0.0006636888760916057,0.0404481593192396,0.0420845375669247,0.02752240940074992,0.0013118576035879308,0.0259046577829129,0.0295078760519899,0.16094488742853658,0.0043484433213550975,0.153895692970611,0.1647216699169976,0.892509353305669,0.0003038191330372909,0.8921845560617735,0.89295505553772,0.060131337493658024,0.0006180669386088362,0.0591327585279941,0.0607146769762039,0.2587008082225529,0.13967263554055154,0.0098833835878099,0.3332443207314007
