baseline,planned_tag,fixed_seed,denominator_cases,status_files,ok_cases,failed_cases,status_breakdown,strict_successes_all_denominator,strict_success_rate_all_702,mean_runtime_sec_status_files,full_denominator_complete,claim_status
Boltz-2,full_r1_s20_seed101,101,702,702,678,24,exception:1; failed_no_prediction_cif:18; failed_nonzero:5; ok:678,4,0.005698005698005698,60.29897150997156,True,completed fixed-seed PoseBench-702 external baseline
Protenix,full_base_c1_s20_n1,101,702,702,678,24,exception:1; failed_no_prediction_cif:23; ok:678,0,0.0,84.42109259259266,True,completed fixed-seed PoseBench-702 external baseline
