Method,All,Low-similarity,Mid-similarity,High-similarity
Official,0.6244975671673366,0.1382575757575757,0.4826107670319199,0.8885714285714286
Oracle,0.7141950497144066,0.231060606060606,0.6102906145783706,0.9395238095238096
Guarded HGB,0.6291516818277978,0.1344696969696969,0.4854692710814673,0.8971428571428571
Pairwise rescue,0.6329595938227205,0.1571969696969697,0.4930919485469271,0.8923809523809524
