dataset,n_ok,n_total,ok_rate,top_success_2a,oracle_success_2a,median_top_rmsd,median_oracle_rmsd
all,127,128,0.9921875,0.0,0.023622047244094488,6.217418123948236,5.446214734774302
posex_cross_dock,127,128,0.9921875,0.0,0.023622047244094488,6.217418123948236,5.446214734774302
