dataset,n_ok,n_total,ok_rate,top_success_2a,oracle_success_2a,median_top_rmsd,median_oracle_rmsd
all,12,12,1.0,0.0,0.0,5.771775103386387,4.904908249556898
posex_cross_dock,12,12,1.0,0.0,0.0,5.771775103386387,4.904908249556898
