factor,bin,n_cases,n_ok,ok_rate,top_success_2a,oracle_success_2a,median_top_rmsd,median_oracle_rmsd,median_top_score
heavy_atom_bin,<=20,443,443,1.0,0.020316027088036117,0.03837471783295711,5.2321401692975,4.20826948014264,-6.741
heavy_atom_bin,21-30,422,421,0.9976303317535545,0.0,0.0,6.363713166177379,5.503037034893315,-8.99
heavy_atom_bin,31-40,361,361,1.0,0.0,0.0,6.870360861658707,6.234620836152608,-9.522
heavy_atom_bin,41-60,86,86,1.0,0.0,0.0,8.187030802839175,6.655754428441096,-9.469999999999999
heavy_atom_bin,>60,0,0,,,,,,
rot_bond_bin,0-4,695,695,1.0,0.012949640287769784,0.02302158273381295,5.637793486817337,4.7071545820441525,-7.865
rot_bond_bin,5-8,516,515,0.998062015503876,0.0,0.001941747572815534,6.844284098647571,6.207027032616852,-9.175
rot_bond_bin,9-12,50,50,1.0,0.0,0.0,6.640391574643262,5.457142114361524,-9.559999999999999
rot_bond_bin,13-20,51,51,1.0,0.0,0.0,5.884089709334826,4.20826948014264,-8.837
rot_bond_bin,>20,0,0,,,,,,
chiral_center_bin,0,728,727,0.9986263736263736,0.005502063273727648,0.015130674002751032,6.167952847852628,5.148429234533578,-8.637
chiral_center_bin,1,281,281,1.0,0.010676156583629894,0.014234875444839857,6.637882867593318,5.755757015320554,-8.918
chiral_center_bin,2-3,109,109,1.0,0.0,0.0,6.025513230394169,5.240255560834523,-8.516
chiral_center_bin,4-6,186,186,1.0,0.010752688172043012,0.010752688172043012,5.817068893320242,4.520053506599995,-7.539
chiral_center_bin,>6,8,8,1.0,0.0,0.0,7.220906314488925,6.027185912558217,-6.6274999999999995
receptor_atom_bin,<=1.5k,388,388,1.0,0.007731958762886598,0.023195876288659795,5.825288946113486,4.772539256221604,-8.4835
receptor_atom_bin,1.5k-3k,682,682,1.0,0.008797653958944282,0.010263929618768328,6.19877742005243,5.654418018574237,-8.806999999999999
receptor_atom_bin,3k-5k,162,162,1.0,0.0,0.006172839506172839,6.916913073545819,5.62644435535792,-7.776999999999999
receptor_atom_bin,5k-8k,22,21,0.9545454545454546,0.0,0.0,5.458122307247207,4.845611627975014,-8.321
receptor_atom_bin,>8k,58,58,1.0,0.0,0.0,7.757685862982457,6.2723480349228495,-8.75
vina_score_quartile,best_Q1,328,328,1.0,0.0,0.0,6.836576830888262,6.264040393635652,-10.0565
vina_score_quartile,Q2,329,329,1.0,0.00303951367781155,0.00303951367781155,6.589333457826938,5.653188898201615,-9.18
vina_score_quartile,Q3,326,326,1.0,0.006134969325153374,0.015337423312883436,5.8219764886279695,4.955739920076306,-7.7815
vina_score_quartile,worst_Q4,328,328,1.0,0.018292682926829267,0.03353658536585366,5.33436416198844,4.3299923802336195,-6.1895
vina_score_quartile,nan,1,0,0.0,,,,,
status,ok,1311,1311,1.0,0.006864988558352402,0.012967200610221205,6.188917188847873,5.28937043688296,-8.596
status,subprocess_error:mk_prepare_receptor.py,1,0,0.0,,,,,
