dataset,n_ok,n_total,ok_rate,top_success_2a,oracle_success_2a,median_top_rmsd,median_oracle_rmsd
all,1,12,0.08333333333333333,0.0,0.0,3.5026322807521013,3.5026322807521013
posex_cross_dock,1,12,0.08333333333333333,0.0,0.0,3.5026322807521013,3.5026322807521013
