dataset,n_ok,n_total,ok_rate,top_success_2a,oracle_success_2a,median_top_rmsd,median_oracle_rmsd
all,1311,1312,0.9992378048780488,0.006864988558352402,0.012967200610221205,6.188917188847873,5.28937043688296
posex_cross_dock,1311,1312,0.9992378048780488,0.006864988558352402,0.012967200610221205,6.188917188847873,5.28937043688296
