dataset,n_ok,n_total,ok_rate,top_success_2a,oracle_success_2a,median_top_rmsd,median_oracle_rmsd
all,126,128,0.984375,0.0,0.023809523809523808,6.217418123948236,5.268898784965117
posex_cross_dock,126,128,0.984375,0.0,0.023809523809523808,6.217418123948236,5.268898784965117
