selector,n_cases,success_2a,median_rmsd,selected_sources,selected_methods_top8
uda_success_hgb,702,0.6011396011396012,1.386871574098218,ours:315; public:387,Chai-1 full receptor s5/t200:118; DiffDock-L default s10/t20:192; public_boltz_relaxedFalse_rep1:25; public_boltz_relaxedFalse_rep2:32; public_boltz_relaxedFalse_rep3:28; public_boltz_ss_relaxedFalse_rep1:31; public_boltz_ss_relaxedFalse_rep2:36; public_diffdock_relaxedFalse_rep1:33
uda_rank_fusion,702,0.5982905982905983,1.428493611166272,ours:298; public:404,Chai-1 full receptor s5/t200:94; DiffDock-L default s10/t20:204; public_boltz_relaxedFalse_rep1:63; public_boltz_relaxedFalse_rep2:30; public_boltz_relaxedFalse_rep3:40; public_boltz_ss_relaxedFalse_rep1:46; public_boltz_ss_relaxedFalse_rep2:26; public_chai_relaxedFalse_rep1:23
uda_utility_hgb,702,0.594017094017094,1.398406676026525,ours:319; public:383,Chai-1 full receptor s5/t200:139; DiffDock-L default s10/t20:171; public_boltz_relaxedFalse_rep1:44; public_boltz_relaxedFalse_rep2:25; public_boltz_relaxedFalse_rep3:27; public_boltz_ss_relaxedFalse_rep1:41; public_boltz_ss_relaxedFalse_rep3:22; public_diffdock_relaxedFalse_rep1:20
uda_success_rf,702,0.5925925925925926,1.4048366450269567,ours:363; public:339,Chai-1 full receptor s5/t200:155; DiffDock-L default s10/t20:207; public_boltz_relaxedFalse_rep3:23; public_boltz_relaxedTrue_rep2:20; public_boltz_ss_relaxedFalse_rep1:20; public_boltz_ss_relaxedFalse_rep2:24; public_boltz_ss_relaxedTrue_rep1:23; public_chai_relaxedFalse_rep1:24
uda_success_et,702,0.47293447293447294,2.196634317072639,ours:602; public:100,Chai-1 full receptor s5/t200:219; DiffDock-L default s10/t20:383; public_boltz_relaxedFalse_rep1:14; public_boltz_relaxedFalse_rep3:9; public_boltz_ss_relaxedFalse_rep1:6; public_boltz_ss_relaxedFalse_rep2:11; public_boltz_ss_relaxedFalse_rep3:6; public_boltz_ss_relaxedTrue_rep2:10
