selector,n_cases,success_2a,success_ci_low,success_ci_high,median_rmsd,median_rmsd_ci_low,median_rmsd_ci_high
old_controlled,702,0.44871794871794873,0.4116809116809117,0.4843304843304843,2.7367842735992745,2.112247025800311,3.217378519925493
public_ours_hgb,702,0.6011396011396012,0.565491452991453,0.6367521367521367,1.3876442011678556,1.2506272568803918,1.5642094806429647
rankaware_fixed,702,0.6111111111111112,0.5740740740740741,0.6467236467236467,1.3955152541676878,1.246978090580222,1.524630741285485
two_expert_defer,702,0.6125356125356125,0.5769230769230769,0.6481481481481481,1.3675509918773108,1.2376926269833266,1.4879981429686864
