split,detector,fusion,train_n,test_n,test_failure_rate,auroc,auprc,brier
joint_low_ligand_protein_ood,rank_logistic_stack,rank_nested_oof,4232,495,0.8686868686868687,0.850304114490161,0.970925273622316,0.09226978940122248
joint_low_ligand_protein_ood,consensus_logistic_stack,nested_oof,4232,495,0.8686868686868687,0.8501252236135957,0.9711530011614851,0.09450166153617796
joint_low_ligand_protein_ood,rank_hgb_stack,rank_nested_oof,4232,495,0.8686868686868687,0.8328801431127011,0.9661246185726126,0.09260518101818449
joint_low_ligand_protein_ood,fixed_rank_method_consensus,fixed_rank,4232,495,0.8686868686868687,0.8263685152057245,0.9689547903536917,0.09833659521193791
joint_low_ligand_protein_ood,consensus_et,single,4232,495,0.8686868686868687,0.817638640429338,0.9654483998963668,0.1117304052416353
joint_low_ligand_protein_ood,consensus_hgb,single,4232,495,0.8686868686868687,0.8147048300536673,0.9562429395985477,0.08935400621128041
joint_low_ligand_protein_ood,ood_axis_hgb,single,4232,495,0.8686868686868687,0.7814311270125224,0.9540070927567149,0.09340445971460669
joint_low_ligand_protein_ood,method_aware_hgb,single,4232,495,0.8686868686868687,0.7784615384615384,0.9529787564149945,0.09670830378915118
joint_low_ligand_protein_ood,rank_conf_hgb,single,4232,495,0.8686868686868687,0.7654025044722719,0.9552600459460353,0.15864759970715728
joint_low_ligand_protein_ood,method_aware_et,single,4232,495,0.8686868686868687,0.7542397137745974,0.9418805553212236,0.11308243887105977
joint_low_ligand_protein_ood,consensus_rf,single,4232,495,0.8686868686868687,0.7454382826475848,0.9399423523719828,0.13818797157704615
low_similarity_holdout,consensus_logistic_stack,nested_oof,4199,528,0.8617424242424242,0.8324853228962819,0.9638056703741693,0.09801900045178696
low_similarity_holdout,rank_hgb_stack,rank_nested_oof,4199,528,0.8617424242424242,0.8316122233930453,0.964698006171824,0.09677614494221758
low_similarity_holdout,rank_logistic_stack,rank_nested_oof,4199,528,0.8617424242424242,0.8267951226855336,0.9611175071172757,0.09719908924589939
low_similarity_holdout,consensus_hgb,single,4199,528,0.8617424242424242,0.815655577299413,0.9577597085566792,0.10100538465677492
low_similarity_holdout,consensus_et,single,4199,528,0.8617424242424242,0.8152641878669276,0.9614169207745971,0.12270743775173532
low_similarity_holdout,fixed_rank_method_consensus,fixed_rank,4199,528,0.8617424242424242,0.8048773144663556,0.9624866275221073,0.10519830419539386
low_similarity_holdout,method_aware_et,single,4199,528,0.8617424242424242,0.795303326810176,0.9588404755511988,0.11948637645848105
low_similarity_holdout,consensus_rf,single,4199,528,0.8617424242424242,0.7748005419238295,0.9489327930753424,0.15839071007496736
low_similarity_holdout,method_aware_hgb,single,4199,528,0.8617424242424242,0.7744693662501881,0.9468299763993758,0.10934352542571817
low_similarity_holdout,ood_axis_hgb,single,4199,528,0.8617424242424242,0.7505946108685835,0.9483019890203631,0.11303520684395917
low_similarity_holdout,rank_conf_hgb,single,4199,528,0.8617424242424242,0.7399969893120577,0.9444423931199969,0.17131105931975432
temporal_2024_holdout,consensus_logistic_stack,nested_oof,3975,752,0.46808510638297873,0.9123011363636364,0.9079067451871763,0.12919337439407882
temporal_2024_holdout,rank_hgb_stack,rank_nested_oof,3975,752,0.46808510638297873,0.9109623579545455,0.9014201662824567,0.12965585650686276
temporal_2024_holdout,rank_logistic_stack,rank_nested_oof,3975,752,0.46808510638297873,0.909346590909091,0.9022522335140694,0.12616834759131754
temporal_2024_holdout,fixed_rank_method_consensus,fixed_rank,3975,752,0.46808510638297873,0.9091832386363636,0.9029374168940423,0.14523959386390586
temporal_2024_holdout,consensus_et,single,3975,752,0.46808510638297873,0.9074005681818182,0.9013271617194161,0.1250396748005251
temporal_2024_holdout,method_aware_hgb,single,3975,752,0.46808510638297873,0.9058451704545454,0.8798565958256422,0.12596455656798033
temporal_2024_holdout,consensus_rf,single,3975,752,0.46808510638297873,0.9043181818181818,0.8927726187082322,0.12645436147364936
temporal_2024_holdout,method_aware_et,single,3975,752,0.46808510638297873,0.9032102272727273,0.892029218488523,0.1266312956394568
temporal_2024_holdout,consensus_hgb,single,3975,752,0.46808510638297873,0.8961576704545455,0.8833818732398193,0.13600975817443506
temporal_2024_holdout,ood_axis_hgb,single,3975,752,0.46808510638297873,0.892421875,0.8737930041611913,0.13895955038517907
temporal_2024_holdout,rank_conf_hgb,single,3975,752,0.46808510638297873,0.8223437499999999,0.8266517319531034,0.17306534893070433
