detector,target_risk,n_total,n_retained,coverage,actual_risk,cp_upper_95,strict_pass_upper_le_0p195
rank,0.15,4727,10,0.0021155066638459913,0.1,0.39416330243650466,False
rank,0.18,4727,61,0.012904590649460547,0.11475409836065574,0.2047597741868332,False
rank,0.19,4727,516,0.10916014385445315,0.1686046511627907,0.19808386740928074,False
rank,0.195,4727,615,0.13010365982652847,0.16422764227642275,0.19080373463354292,True
rank,0.2,4727,669,0.1415273958112968,0.17638266068759342,0.20241807806616505,False
rank,0.22,4727,810,0.17135603977152528,0.19876543209876543,0.22324751487386646,False
rank,0.25,4727,1283,0.2714195049714407,0.23148869836321123,0.2516939967152173,False
rank_confidence,0.15,4727,2188,0.46287285804950284,0.1403107861060329,0.15310937041870865,True
rank_confidence,0.18,4727,2536,0.5364924899513434,0.16640378548895898,0.17905007477705276,True
rank_confidence,0.19,4727,2696,0.5703405965728792,0.17804154302670624,0.1906029888533593,True
rank_confidence,0.195,4727,2763,0.5845144912206474,0.18204849800941006,0.19455247924694943,True
rank_confidence,0.2,4727,2813,0.5950920245398773,0.18734447209385,0.19986222264520992,False
rank_confidence,0.22,4727,3075,0.6505182991326423,0.20780487804878048,0.2202063236967427,False
rank_confidence,0.25,4727,3396,0.7184260630420986,0.23792697290930506,0.2502578123901478,False
reference_neighborhood_only,0.15,4727,2162,0.45737254072350325,0.13829787234042554,0.15110474656794365,True
reference_neighborhood_only,0.18,4727,2555,0.5405119526126507,0.17299412915851273,0.1857743527273741,True
reference_neighborhood_only,0.19,4727,2668,0.5644171779141104,0.18178410794602698,0.19450977097594263,True
reference_neighborhood_only,0.195,4727,2695,0.5701290459064946,0.18330241187384044,0.19600019800563692,False
reference_neighborhood_only,0.2,4727,2736,0.5788026232282631,0.18457602339181287,0.19720664295642845,False
reference_neighborhood_only,0.22,4727,2981,0.63063253649249,0.2073129822207313,0.21990395138012264,False
reference_neighborhood_only,0.25,4727,3333,0.7050983710598688,0.23102310231023102,0.24335421344344485,False
rank_confidence_ligand,0.15,4727,2519,0.5328961286228051,0.13775307661770544,0.1495586423545785,True
rank_confidence_ligand,0.18,4727,2842,0.6012269938650306,0.16819141449683322,0.18015993021606194,True
rank_confidence_ligand,0.19,4727,2929,0.6196319018404908,0.17616934107203824,0.18815680753499034,True
rank_confidence_ligand,0.195,4727,2979,0.6302094351597207,0.17925478348439072,0.1912138437144698,True
rank_confidence_ligand,0.2,4727,3036,0.642267823143643,0.18642951251646903,0.19844244345323647,False
rank_confidence_ligand,0.22,4727,3212,0.6795007404273323,0.20672478206724781,0.21882924414168328,False
rank_confidence_ligand,0.25,4727,3507,0.7419081870107891,0.23781009409751924,0.2499374059816948,False
rank_confidence_structure,0.15,4727,2705,0.5722445525703406,0.13715341959334565,0.1485090218315865,True
rank_confidence_structure,0.18,4727,3028,0.6405754178125661,0.16809775429326287,0.1796774385368788,True
rank_confidence_structure,0.19,4727,3127,0.6615189337846414,0.17876559002238568,0.19041713335715837,True
rank_confidence_structure,0.195,4727,3185,0.6737888724349481,0.18618524332810046,0.197899281831703,False
rank_confidence_structure,0.2,4727,3224,0.6820393484239475,0.19044665012406947,0.20218283356698089,False
rank_confidence_structure,0.22,4727,3377,0.7144066003807912,0.20876517619188628,0.22060198642726347,False
rank_confidence_structure,0.25,4727,3624,0.7666596149777872,0.23620309050772628,0.24810202749729618,False
rank_confidence_memory,0.15,4727,2733,0.5781679712291093,0.14013904134650568,0.15152957117682903,True
rank_confidence_memory,0.18,4727,3048,0.644806431140258,0.17060367454068243,0.18220793754251952,True
rank_confidence_memory,0.19,4727,3137,0.6636344404484874,0.17947083200510042,0.1911200039886589,True
rank_confidence_memory,0.195,4727,3178,0.672308017770256,0.18407803650094398,0.1957570274138342,False
rank_confidence_memory,0.2,4727,3214,0.6799238417601016,0.18886123210952085,0.20058091814524492,False
rank_confidence_memory,0.22,4727,3384,0.7158874550454833,0.20803782505910165,0.21984775681212582,False
rank_confidence_memory,0.25,4727,3633,0.7685635709752485,0.23644371043214973,0.24833146554483468,False
rank_confidence_structure_reference_neighborhood,0.15,4727,2967,0.6276708271631055,0.13987192450286484,0.15077765486744021,True
rank_confidence_structure_reference_neighborhood,0.18,4727,3221,0.6814046964247937,0.16796026078857498,0.17917231702014288,True
rank_confidence_structure_reference_neighborhood,0.19,4727,3296,0.6972709964036387,0.18021844660194175,0.19159143682231278,True
rank_confidence_structure_reference_neighborhood,0.195,4727,3331,0.7046752697270996,0.1837286100270189,0.1951198835333362,False
rank_confidence_structure_reference_neighborhood,0.2,4727,3382,0.7154643537127142,0.18923713778829096,0.200661278282515,False
rank_confidence_structure_reference_neighborhood,0.22,4727,3494,0.7391580283477893,0.20578133943903834,0.21735469000564286,False
rank_confidence_structure_reference_neighborhood,0.25,4727,3722,0.7873915802834779,0.23804406233207953,0.2498110533193128,False
rank_confidence_structure_reference_neighborhood_shuffled,0.15,4727,2630,0.5563782525914956,0.13954372623574143,0.15114519862848308,True
rank_confidence_structure_reference_neighborhood_shuffled,0.18,4727,2947,0.6234398138354136,0.16932473702069903,0.18110000701077258,True
rank_confidence_structure_reference_neighborhood_shuffled,0.19,4727,3070,0.6494605458007193,0.18013029315960913,0.19192591272740234,True
rank_confidence_structure_reference_neighborhood_shuffled,0.195,4727,3110,0.6579225724561032,0.18360128617363344,0.19540023034675627,False
rank_confidence_structure_reference_neighborhood_shuffled,0.2,4727,3169,0.6704040617727945,0.1887030609024929,0.20050470016989613,False
rank_confidence_structure_reference_neighborhood_shuffled,0.22,4727,3355,0.70975248572033,0.20864381520119224,0.22051807654922573,False
rank_confidence_structure_reference_neighborhood_shuffled,0.25,4727,3599,0.7613708483181723,0.23589886079466518,0.24783507621879694,False
