k,n_cases,hit_at_k,median_best_rmsd_at_k,mean_reciprocal_rank
1,702,0.6125356125356125,1.3675509918773108,0.6125356125356125
2,702,0.6524216524216524,1.2245195439201448,0.6324786324786325
3,702,0.6695156695156695,1.1443932014106486,0.6381766381766382
5,702,0.6823361823361823,1.074193888820271,0.6412393162393162
10,702,0.688034188034188,1.029252243095189,0.641921607199385
