detector,n,failure_rate,auroc,auprc,brier,ece,mean_risk
rank,4727,0.3755024328326634,0.6485817206763616,0.5058998291307321,0.2353118753703502,0.1124833556904629,0.4798350915808369
rank_confidence,4727,0.3755024328326634,0.8192014008168251,0.7233738021787273,0.172121397016886,0.0672399558085459,0.4351800098780712
rank_confidence_structure,4727,0.3755024328326634,0.8748538112141685,0.8087188173148324,0.1424283352211859,0.0503680469204047,0.4150623722922467
rank_confidence_structure_memory,4727,0.3755024328326634,0.9030705370433988,0.8467298668733021,0.1250274810322643,0.0549695077189053,0.4057718700529542
rank_confidence_structure_memory_shuffled,4727,0.3755024328326634,0.8673144013130273,0.7962688165422454,0.1469431708578882,0.0541662606363561,0.4134519858391136
