method,all_success,low_similarity_success,mid_similarity_success,high_similarity_success,delta_all_vs_official,delta_low_vs_official,manuscript_use
Official,0.6244975671673366,0.1382575757575757,0.4826107670319199,0.8885714285714286,0.0,0.0,main baseline
Oracle,0.7141950497144066,0.231060606060606,0.6102906145783706,0.9395238095238096,0.08969748254707,0.0928030303030303,"headroom only, not a deployable method"
Guarded HGB,0.6291516818277978,0.1344696969696969,0.4854692710814673,0.8971428571428571,0.004654114660461173,-0.0037878787878787845,learned selector sanity check
Pairwise rescue,0.6329595938227205,0.1571969696969697,0.4930919485469271,0.8923809523809524,0.00846202665538387,0.018939393939394006,deployable rescue result
