unseen_generator,n_cases,base_selector_success,plus_selector_success,base_oracle_success,plus_oracle_success,selected_unseen_rate,base_median_rmsd,plus_median_rmsd,plus_vs_base_selector_delta_success,plus_vs_base_selector_delta_success_ci_low,plus_vs_base_selector_delta_success_ci_high,plus_vs_base_selector_wins,plus_vs_base_selector_losses,plus_vs_base_selector_ties,plus_vs_base_selector_sign_p,plus_vs_base_oracle_delta_success,plus_vs_base_oracle_delta_success_ci_low,plus_vs_base_oracle_delta_success_ci_high,plus_vs_base_oracle_wins,plus_vs_base_oracle_losses,plus_vs_base_oracle_ties,plus_vs_base_oracle_sign_p,plus_vs_base_selector_mean_delta_rmsd,plus_vs_base_selector_mean_delta_rmsd_ci_low,plus_vs_base_selector_mean_delta_rmsd_ci_high,plus_vs_base_selector_median_delta_rmsd
Boltz,702,0.5384615384615384,0.5868945868945868,0.6524216524216524,0.6994301994301995,0.26638176638176636,1.6620246869702793,1.4202230025527398,0.04843304843304843,0.02849002849002849,0.06837606837606838,43,9,650,2.0377698612961126e-06,0.04700854700854701,0.03133903133903134,0.06267806267806268,33,0,669,2.3283064365386963e-10,-1.2476268369936212,-1.8104048562008026,-0.7298428085032139,0.0
DiffDock,702,0.5698005698005698,0.6068376068376068,0.6282051282051282,0.6994301994301995,0.21794871794871795,1.378738344412361,1.3482816035399758,0.037037037037037035,0.021367521367521368,0.05413105413105413,32,6,664,2.4342560209333897e-05,0.07122507122507123,0.05270655270655271,0.09116809116809117,50,0,652,1.7763568394002505e-15,0.15998008488008325,-0.17213268980698687,0.5006428143610523,0.0
Chai,702,0.5527065527065527,0.5740740740740741,0.6125356125356125,0.6994301994301995,0.15384615384615385,1.702167707292674,1.5284134385041237,0.021367521367521368,0.007122507122507123,0.03561253561253561,21,6,675,0.005924612283706665,0.0868945868945869,0.06695156695156695,0.10826210826210826,61,0,641,8.673617379884035e-19,-0.6478392879319972,-1.1191506070734862,-0.24747328750250888,0.0
RFAA,702,0.6082621082621082,0.6111111111111112,0.6937321937321937,0.6994301994301995,0.011396011396011397,1.373429505912828,1.3634148316172925,0.002849002849002849,-0.002849002849002849,0.008547008547008548,3,1,698,0.625,0.005698005698005698,0.0014245014245014246,0.011396011396011397,4,0,698,0.125,-0.07478921692477081,-0.2243185072944145,0.008766169408753603,0.0
DynamicBind,702,0.6082621082621082,0.6096866096866097,0.6951566951566952,0.6994301994301995,0.009971509971509971,1.3775758015630986,1.3639318411732644,0.0014245014245014246,-0.005698005698005698,0.008547008547008548,4,3,695,1.0,0.004273504273504274,-0.0014245014245014246,0.011396011396011397,4,1,697,0.375,-0.1841755501523857,-0.4347449307450675,0.0009968298231957209,0.0
NeuralPlexer,702,0.6096866096866097,0.6111111111111112,0.6937321937321937,0.6994301994301995,0.017094017094017096,1.362919509074607,1.3639101541599778,0.0014245014245014246,-0.002849002849002849,0.007122507122507123,2,1,699,1.0,0.005698005698005698,0.0014245014245014246,0.011396011396011397,4,0,698,0.125,-0.21620030225692757,-0.43056934372711525,-0.05040119953868784,0.0
Vina,702,0.6153846153846154,0.6168091168091168,0.6908831908831908,0.6994301994301995,0.005698005698005698,1.3334017835241925,1.3334017835241925,0.0014245014245014246,-0.002849002849002849,0.007122507122507123,2,1,699,1.0,0.008547008547008548,0.002849002849002849,0.01566951566951567,6,0,696,0.03125,-0.10860505041326063,-0.2837577054560992,0.0038710284084244972,0.0
Protenix,702,0.6125356125356125,0.6125356125356125,0.6994301994301995,0.6994301994301995,0.0,1.3606657550264876,1.3606657550264876,0.0,0.0,0.0,0,0,702,,0.0,0.0,0.0,0,0,702,,0.0,0.0,0.0,0.0
