dataset,mol_id,strategy,generator_group,k,n_candidates,baseline_method,baseline_success,baseline_rmsd,selector_method,selector_success,selector_rmsd,oracle_method,oracle_success,oracle_rmsd
astex_diverse,1GPK_HUP,cross_generator_balanced,,1,1,public_boltz_ss_relaxedFalse_rep1,False,4.189439138145132,public_boltz_ss_relaxedFalse_rep1,False,4.189439138145132,public_boltz_ss_relaxedFalse_rep1,False,4.189439138145132
astex_diverse,1GPK_HUP,same_generator,Boltz,1,1,public_boltz_ss_relaxedFalse_rep1,False,4.189439138145132,public_boltz_ss_relaxedFalse_rep1,False,4.189439138145132,public_boltz_ss_relaxedFalse_rep1,False,4.189439138145132
astex_diverse,1GPK_HUP,same_generator,Chai,1,1,public_chai_relaxedFalse_rep1,False,8.57493160508368,public_chai_relaxedFalse_rep1,False,8.57493160508368,public_chai_relaxedFalse_rep1,False,8.57493160508368
astex_diverse,1GPK_HUP,same_generator,DiffDock,1,1,DiffDock-L default s10/t20,True,0.369399857877612,DiffDock-L default s10/t20,True,0.369399857877612,DiffDock-L default s10/t20,True,0.369399857877612
astex_diverse,1GPK_HUP,same_generator,NeuralPlexer,1,1,public_neuralplexer_relaxedTrue_rep3,False,3.5862582222515256,public_neuralplexer_relaxedTrue_rep3,False,3.5862582222515256,public_neuralplexer_relaxedTrue_rep3,False,3.5862582222515256
astex_diverse,1GPK_HUP,same_generator,DynamicBind,1,1,public_dynamicbind_relaxedFalse_rep-1,True,0.4048937048439032,public_dynamicbind_relaxedFalse_rep-1,True,0.4048937048439032,public_dynamicbind_relaxedFalse_rep-1,True,0.4048937048439032
astex_diverse,1GPK_HUP,same_generator,RFAA,1,1,public_rfaa_relaxedFalse_rep1,False,,public_rfaa_relaxedFalse_rep1,False,,public_rfaa_relaxedFalse_rep1,False,
astex_diverse,1GPK_HUP,cross_generator_balanced,,2,2,public_boltz_ss_relaxedFalse_rep1,False,4.189439138145132,DiffDock-L default s10/t20,True,0.369399857877612,DiffDock-L default s10/t20,True,0.369399857877612
astex_diverse,1GPK_HUP,same_generator,Boltz,2,2,public_boltz_ss_relaxedFalse_rep1,False,4.189439138145132,public_boltz_relaxedFalse_rep1,False,4.449748342696847,public_boltz_ss_relaxedFalse_rep1,False,4.189439138145132
astex_diverse,1GPK_HUP,same_generator,Chai,2,2,public_chai_relaxedFalse_rep1,False,8.57493160508368,public_chai_relaxedTrue_rep1,False,8.423822336286605,public_chai_relaxedTrue_rep1,False,8.423822336286605
astex_diverse,1GPK_HUP,same_generator,DiffDock,2,2,DiffDock-L default s10/t20,True,0.369399857877612,public_diffdock_relaxedFalse_rep2,True,0.4458089756586095,DiffDock-L default s10/t20,True,0.369399857877612
astex_diverse,1GPK_HUP,same_generator,NeuralPlexer,2,2,public_neuralplexer_relaxedTrue_rep3,False,3.5862582222515256,public_neuralplexer_relaxedTrue_rep3,False,3.5862582222515256,public_neuralplexer_relaxedTrue_rep3,False,3.5862582222515256
astex_diverse,1GPK_HUP,same_generator,DynamicBind,2,2,public_dynamicbind_relaxedFalse_rep-1,True,0.4048937048439032,public_dynamicbind_relaxedFalse_rep-1,True,0.4048937048439032,public_dynamicbind_relaxedFalse_rep-1,True,0.4048937048439032
astex_diverse,1GPK_HUP,same_generator,RFAA,2,2,public_rfaa_relaxedFalse_rep1,False,,public_rfaa_relaxedFalse_rep1,False,,public_rfaa_relaxedFalse_rep1,False,
astex_diverse,1GPK_HUP,cross_generator_balanced,,4,4,public_boltz_ss_relaxedFalse_rep1,False,4.189439138145132,DiffDock-L default s10/t20,True,0.369399857877612,DiffDock-L default s10/t20,True,0.369399857877612
astex_diverse,1GPK_HUP,same_generator,Boltz,4,4,public_boltz_ss_relaxedFalse_rep1,False,4.189439138145132,public_boltz_relaxedFalse_rep1,False,4.449748342696847,public_boltz_ss_relaxedFalse_rep1,False,4.189439138145132
astex_diverse,1GPK_HUP,same_generator,Chai,4,4,public_chai_relaxedFalse_rep1,False,8.57493160508368,public_chai_relaxedTrue_rep1,False,8.423822336286605,public_chai_relaxedTrue_rep2,False,8.234955901812336
astex_diverse,1GPK_HUP,same_generator,DiffDock,4,4,DiffDock-L default s10/t20,True,0.369399857877612,public_diffdock_relaxedFalse_rep2,True,0.4458089756586095,DiffDock-L default s10/t20,True,0.369399857877612
astex_diverse,1GPK_HUP,same_generator,NeuralPlexer,4,4,public_neuralplexer_relaxedTrue_rep3,False,3.5862582222515256,public_neuralplexer_relaxedTrue_rep3,False,3.5862582222515256,public_neuralplexer_relaxedTrue_rep3,False,3.5862582222515256
astex_diverse,1GPK_HUP,same_generator,DynamicBind,4,2,public_dynamicbind_relaxedFalse_rep-1,True,0.4048937048439032,public_dynamicbind_relaxedFalse_rep-1,True,0.4048937048439032,public_dynamicbind_relaxedFalse_rep-1,True,0.4048937048439032
astex_diverse,1GPK_HUP,same_generator,RFAA,4,2,public_rfaa_relaxedFalse_rep1,False,,public_rfaa_relaxedFalse_rep1,False,,public_rfaa_relaxedFalse_rep1,False,
astex_diverse,1GPK_HUP,cross_generator_balanced,,8,8,public_boltz_ss_relaxedFalse_rep1,False,4.189439138145132,public_dynamicbind_relaxedFalse_rep-1,True,0.4048937048439032,DiffDock-L default s10/t20,True,0.369399857877612
astex_diverse,1GPK_HUP,same_generator,Boltz,8,8,public_boltz_ss_relaxedFalse_rep1,False,4.189439138145132,public_boltz_relaxedFalse_rep1,False,4.449748342696847,public_boltz_ss_relaxedFalse_rep2,False,4.109973705849927
