analysis,strategy,generator_group,k,n_cases,mean_candidates_available,empty_case_rate,baseline_success,selector_success,oracle_success,headroom_oracle_minus_baseline,selector_recovered_headroom,baseline_median_rmsd,selector_median_rmsd,oracle_median_rmsd,rescued_vs_baseline,harmed_vs_baseline
candidate_diversity_vs_depth,cross_generator_balanced,,1,702,1.0,0.0,0.45726495726495725,0.45726495726495725,0.45726495726495725,0.0,,2.43490866253296,2.43490866253296,2.43490866253296,0,0
candidate_diversity_vs_depth,cross_generator_balanced,,2,702,2.0,0.0,0.45726495726495725,0.5356125356125356,0.5655270655270656,0.1082621082621083,0.7236842105263158,2.43490866253296,1.7126483309847933,1.549569228447054,60,5
candidate_diversity_vs_depth,cross_generator_balanced,,4,702,4.0,0.0,0.45726495726495725,0.5612535612535613,0.6054131054131054,0.1481481481481482,0.7019230769230771,2.43490866253296,1.5901255940248011,1.3106563502052446,81,8
candidate_diversity_vs_depth,cross_generator_balanced,,8,702,7.3917378917378915,0.0,0.45726495726495725,0.5641025641025641,0.6267806267806267,0.1695156695156695,0.6302521008403363,2.43490866253296,1.549569228447054,1.2919861923991898,85,10
candidate_diversity_vs_depth,cross_generator_balanced,,16,702,12.91025641025641,0.0,0.45726495726495725,0.584045584045584,0.6623931623931624,0.20512820512820512,0.6180555555555557,2.43490866253296,1.4760861926052955,1.0964762805083659,102,13
candidate_diversity_vs_depth,cross_generator_balanced,,32,702,23.1011396011396,0.0,0.45726495726495725,0.603988603988604,0.6937321937321937,0.2364672364672365,0.6204819277108433,2.43490866253296,1.376413258713836,0.9910443642726219,116,13
candidate_diversity_vs_depth,same_generator,Boltz,1,702,1.0,0.0,0.31196581196581197,0.31196581196581197,0.31196581196581197,0.0,,6.975550442347624,6.975550442347624,6.975550442347624,0,0
candidate_diversity_vs_depth,same_generator,Boltz,2,702,2.0,0.0,0.31196581196581197,0.32051282051282054,0.32051282051282054,0.008547008547008572,1.0,6.975550442347624,6.419880004558152,6.106756157078996,6,0
candidate_diversity_vs_depth,same_generator,Boltz,4,702,3.173789173789174,0.0,0.31196581196581197,0.36324786324786323,0.36894586894586895,0.05698005698005698,0.8999999999999997,6.975550442347624,5.374212217619001,5.109251507810573,37,1
candidate_diversity_vs_depth,same_generator,Boltz,8,702,5.521367521367521,0.0,0.31196581196581197,0.3732193732193732,0.38746438746438744,0.07549857549857547,0.8113207547169813,6.975550442347624,4.701795827993017,4.441247647906563,47,4
candidate_diversity_vs_depth,same_generator,Boltz,16,702,8.857549857549857,0.0,0.31196581196581197,0.3803418803418803,0.3974358974358974,0.08547008547008544,0.8,6.975550442347624,4.360135500276769,3.844945711797069,50,2
candidate_diversity_vs_depth,same_generator,Boltz,32,702,8.857549857549857,0.0,0.31196581196581197,0.3803418803418803,0.3974358974358974,0.08547008547008544,0.8,6.975550442347624,4.360135500276769,3.844945711797069,50,2
candidate_diversity_vs_depth,same_generator,Chai,1,702,1.0,0.0,0.36182336182336183,0.36182336182336183,0.36182336182336183,0.0,,3.84704602429861,3.84704602429861,3.84704602429861,0,0
candidate_diversity_vs_depth,same_generator,Chai,2,702,1.6752136752136753,0.0,0.36182336182336183,0.3817663817663818,0.3888888888888889,0.027065527065527062,0.7368421052631581,3.84704602429861,3.2941364013905297,3.36830853059456,17,3
candidate_diversity_vs_depth,same_generator,Chai,4,702,3.0199430199430197,0.0,0.36182336182336183,0.39316239316239315,0.41025641025641024,0.04843304843304841,0.6470588235294117,3.84704602429861,2.737816966935586,2.7533568169176714,26,4
candidate_diversity_vs_depth,same_generator,Chai,8,702,5.017094017094017,0.0,0.36182336182336183,0.4230769230769231,0.4444444444444444,0.08262108262108259,0.7413793103448277,3.84704602429861,2.1088111097165645,2.2777952765764877,46,3
