profile,outer_heldout,lambda,n_cases,baseline_success,selector_success,pbsoft_success,baseline_pb_valid_all,selector_pb_valid_all,pbsoft_pb_valid_all,chosen_for_outer_fold,selection_rule
original_features,astex_diverse,0.0,617,0.4343598055105348,0.5705024311183144,0.5705024311183144,0.3711507293354943,0.2479740680713128,0.2479740680713128,False,smallest ? with train PB-validity >= train budget baseline and train success >= train selector - 0.005
original_features,astex_diverse,0.1,617,0.4343598055105348,0.5705024311183144,0.5705024311183144,0.3711507293354943,0.2479740680713128,0.3727714748784441,True,smallest ? with train PB-validity >= train budget baseline and train success >= train selector - 0.005
original_features,astex_diverse,0.2,617,0.4343598055105348,0.5705024311183144,0.5526742301458671,0.3711507293354943,0.2479740680713128,0.419773095623987,False,smallest ? with train PB-validity >= train budget baseline and train success >= train selector - 0.005
original_features,astex_diverse,0.3,617,0.4343598055105348,0.5705024311183144,0.5445705024311183,0.3711507293354943,0.2479740680713128,0.4473257698541329,False,smallest ? with train PB-validity >= train budget baseline and train success >= train selector - 0.005
original_features,astex_diverse,0.5,617,0.4343598055105348,0.5705024311183144,0.5251215559157212,0.3711507293354943,0.2479740680713128,0.4813614262560778,False,smallest ? with train PB-validity >= train budget baseline and train success >= train selector - 0.005
original_features,dockgen,0.0,513,0.5107212475633528,0.6471734892787524,0.6471734892787524,0.5458089668615984,0.3157894736842105,0.3157894736842105,False,smallest ? with train PB-validity >= train budget baseline and train success >= train selector - 0.005
original_features,dockgen,0.1,513,0.5107212475633528,0.6471734892787524,0.6530214424951267,0.5458089668615984,0.3157894736842105,0.48148148148148145,True,smallest ? with train PB-validity >= train budget baseline and train success >= train selector - 0.005
original_features,dockgen,0.2,513,0.5107212475633528,0.6471734892787524,0.6432748538011696,0.5458089668615984,0.3157894736842105,0.5360623781676414,False,smallest ? with train PB-validity >= train budget baseline and train success >= train selector - 0.005
original_features,dockgen,0.3,513,0.5107212475633528,0.6471734892787524,0.6374269005847953,0.5458089668615984,0.3157894736842105,0.5672514619883041,False,smallest ? with train PB-validity >= train budget baseline and train success >= train selector - 0.005
original_features,dockgen,0.5,513,0.5107212475633528,0.6471734892787524,0.6335282651072125,0.5458089668615984,0.3157894736842105,0.6101364522417154,False,smallest ? with train PB-validity >= train budget baseline and train success >= train selector - 0.005
