k,best_same_generator,n_cases,cross_selector_success,best_same_selector_success,cross_oracle_success,best_same_oracle_success,cross_median_rmsd,best_same_median_rmsd,cross_vs_best_same_delta_success,cross_vs_best_same_delta_success_ci_low,cross_vs_best_same_delta_success_ci_high,cross_vs_best_same_wins,cross_vs_best_same_losses,cross_vs_best_same_ties,cross_vs_best_same_sign_p,cross_oracle_vs_best_same_delta_success,cross_oracle_vs_best_same_delta_success_ci_low,cross_oracle_vs_best_same_delta_success_ci_high,cross_oracle_vs_best_same_wins,cross_oracle_vs_best_same_losses,cross_oracle_vs_best_same_ties,cross_oracle_vs_best_same_sign_p,cross_vs_best_same_mean_delta_rmsd,cross_vs_best_same_mean_delta_rmsd_ci_low,cross_vs_best_same_mean_delta_rmsd_ci_high,cross_vs_best_same_median_delta_rmsd
1,Chai,702,0.45726495726495725,0.36182336182336183,0.45726495726495725,0.36182336182336183,2.43490866253296,3.84704602429861,0.09544159544159544,0.0584045584045584,0.13247863247863248,122,55,525,5.194305648357268e-07,0.09544159544159544,0.0584045584045584,0.13247863247863248,122,55,525,5.194305648357268e-07,-0.9003888193174894,-2.0877655935186503,0.30503875561213767,0.0
2,Chai,702,0.5356125356125356,0.3817663817663818,0.5655270655270656,0.3888888888888889,1.7126483309847933,3.2941364013905297,0.15384615384615385,0.12108262108262108,0.18803418803418803,133,25,544,5.392967935624553e-19,0.17663817663817663,0.14387464387464388,0.20797720797720798,137,13,552,2.8290471991413683e-27,-2.801958367258958,-3.8758043071386887,-1.7602129293780835,0.0
4,DiffDock,702,0.5612535612535613,0.3974358974358974,0.6054131054131054,0.4074074074074074,1.5901255940248011,3.288473032849407,0.16381766381766383,0.13247863247863248,0.19515669515669515,134,19,549,1.6844384330714513e-22,0.198005698005698,0.16666666666666666,0.23076923076923078,153,14,535,1.0101982379731631e-30,-2.5861732365776136,-3.597740429400835,-1.6115342332431921,0.0
8,Chai,702,0.5641025641025641,0.4230769230769231,0.6267806267806267,0.4444444444444444,1.549569228447054,2.1088111097165645,0.14102564102564102,0.10683760683760683,0.1752136752136752,133,34,535,4.885844997915118e-15,0.18233618233618235,0.14957264957264957,0.2150997150997151,145,17,540,1.6614865549132097e-26,-2.3925800537056445,-3.3793661600784666,-1.427493759862704,0.0
16,Chai,702,0.584045584045584,0.4230769230769231,0.6623931623931624,0.4444444444444444,1.4760861926052955,2.1088111097165645,0.16096866096866097,0.1267806267806268,0.19515669515669515,143,30,529,7.600993445594599e-19,0.21794871794871795,0.18518518518518517,0.25071225071225073,163,10,529,9.027730189142221e-37,-2.5676760271191292,-3.5193917255288327,-1.6146805917510418,0.0
32,Chai,702,0.603988603988604,0.4230769230769231,0.6937321937321937,0.4444444444444444,1.376413258713836,2.1088111097165645,0.18091168091168092,0.1467236467236467,0.2150997150997151,153,26,523,4.323794758081699e-23,0.2492877492877493,0.21652421652421652,0.28205128205128205,177,2,523,4.205167211356969e-50,-2.5858902923596188,-3.5472819431734655,-1.648471180682758,0.0
