tag,planned_cases,finished_cases,ok_cases,pending_cases,failed_cases,top1_success_count,top1_success_rate_full,top1_success_rate_finished,top1_success_rate_ok,top1_median_rmsd_ok,oracle_success_count,oracle_success_rate_full,oracle_success_rate_ok,oracle_median_rmsd_ok
old_top150_ready144,144,144,144,0,0,44,0.3055555555555556,0.3055555555555556,0.3055555555555556,4.866394443777228,50,0.3472222222222222,0.3472222222222222,3.6000352041593953
new_top299_tail_ready148,148,148,148,0,0,36,0.24324324324324326,0.24324324324324326,0.24324324324324326,4.701728895871206,47,0.31756756756756754,0.31756756756756754,3.371901133245302
combined_ready292,292,292,292,0,0,80,0.273972602739726,0.273972602739726,0.273972602739726,4.763021169161312,97,0.3321917808219178,0.3321917808219178,3.557583490499556
