case_type,n_changed_cases,selected_success_rate,official_success_rate,validity_aware_fallback_success_rate,selected_core_valid_rate,n_kept_selected,n_fallback_to_official,chirality_pass_rate,bond_length_pass_rate,steric_pass_rate,protein_overlap_pass_rate
all_changed,65,0.24615384615384617,0.09230769230769231,0.2153846153846154,0.4153846153846154,27,38,0.6,0.5846153846153846,0.6307692307692307,0.9230769230769231
harmed,1,0.0,1.0,1.0,0.0,0,1,1.0,0.0,0.0,1.0
rescued,11,1.0,0.0,0.7272727272727273,0.7272727272727273,8,3,0.7272727272727273,0.9090909090909091,1.0,1.0
unchanged_or_neutral,53,0.09433962264150944,0.09433962264150944,0.09433962264150944,0.3584905660377358,19,34,0.5660377358490566,0.5283018867924528,0.5660377358490566,0.9056603773584906
