selector,n_cases,ok_cases,ok_coverage,success_2a,median_rmsd,selected_methods
Vina,1312,1311,0.9992378048780488,0.006859756097560976,6.188917188847873,Vina:1312
DiffDock-L,1312,1312,1.0,0.45503048780487804,2.2658894464401955,DiffDock-L:1312
MGD-lite_diffdock_first,1312,1312,1.0,0.45503048780487804,2.2658894464401955,DiffDock-L:1312
MGD-lite_confidence_gate,1312,1312,1.0,0.42378048780487804,2.6890721857233366,DiffDock-L:1129;Vina:183
two_source_oracle_upper_bound,1312,1312,1.0,0.45884146341463417,2.2431254754238585,DiffDock-L:950;Vina:362
