conformal_mode,target_risk,max_group_failure_rate,min_group_failure_rate,failure_rate_range,min_group_coverage,max_group_coverage
marginal_global_threshold,0.2,0.3928571428571428,0.0943765281173594,0.2984806147397834,0.106060606060606,0.9738095238095238
mondrian_memory_bin,0.2,0.1811320754716981,0.1110052405907575,0.0701268348809406,0.0,0.9995238095238095
marginal_global_threshold,0.25,0.5434782608695652,0.1043771043771043,0.4391011564924609,0.1742424242424242,0.99
mondrian_memory_bin,0.25,0.22386223862238622,0.1110052405907575,0.11285699803162871,0.0,0.9995238095238095
marginal_global_threshold,0.3,0.6900584795321637,0.1063727839003354,0.5836856956318283,0.3238636363636363,0.9938095238095238
mondrian_memory_bin,0.3,0.27690802348336596,0.1110052405907575,0.16590278289260846,0.0,0.9995238095238095
