dataset,n_cases,ok_cases,ok_rate,top_success_2a_all_denominator,oracle_success_2a_all_denominator,top_success_2a_ok_only,oracle_success_2a_ok_only,median_top_rmsd_ok,median_oracle_rmsd_ok,mean_runtime_sec_ok
all,29,28,0.9655172413793104,0.0,0.034482758620689655,0.0,0.03571428571428571,5.754663435965001,4.1612175354761485,13.973464285714284
astex_diverse,4,4,1.0,0.0,0.25,0.0,0.25,4.7985849468635795,3.477808299373284,13.904499999999999
dockgen,7,7,1.0,0.0,0.0,0.0,0.0,3.971475467266136,3.971475467266136,13.910714285714283
posebusters_benchmark,18,17,0.9444444444444444,0.0,0.0,0.0,0.0,6.773270103483018,5.421593591276047,14.015529411764707
