baseline,n_pairs,rescued_by_higher_budget,harmed_by_higher_budget,net_success_change,median_rmsd_change_high_minus_low_both_ok,runtime_multiplier_high_vs_low
Boltz-2,30,1,0,0.03333333333333333,0.069752171877558,1.5753485808102294
Protenix,30,0,0,0.0,-0.879175272512537,1.1251936645737883
