dataset,n_cases,ok_cases,ok_rate,top_success_2a_all_denominator,oracle_success_2a_all_denominator,top_success_2a_ok_only,oracle_success_2a_ok_only,median_top_rmsd_ok,median_oracle_rmsd_ok,mean_runtime_sec_ok
all,28,26,0.9285714285714286,0.0,0.07142857142857142,0.0,0.07692307692307693,6.1790875966105805,4.538780948866723,14.164230769230771
astex_diverse,3,3,1.0,0.0,0.0,0.0,0.0,4.543761449626409,3.589212533566536,14.511666666666665
dockgen,8,7,0.875,0.0,0.0,0.0,0.0,9.85045277848569,5.9305966956678695,13.972999999999999
posebusters_benchmark,17,16,0.9411764705882353,0.0,0.11764705882352941,0.0,0.125,6.072626781480156,4.229007762109356,14.182750000000002
