run_index,seed_offset,head,feature_blocks,n_candidates,positive_rate,auroc_success,auprc_success,brier_success,ece15_success,nll_success,risk_coverage_auc,mean_predictive_uncertainty,uncertainty_failure_spearman_proxy
0,0,hgb_reference_full,rank+confidence+structure+ligand+memory+physics,119198,0.6050688624382019,0.9899984735023206,0.9935735152099456,0.0349093864155821,0.0169491435552687,0.1264971558428054,0.8937780424818533,,
0,0,mlp_bce_no_memory,rank+confidence+structure+ligand+physics,119198,0.6050688624382019,0.98789328026532,0.9921413305459336,0.0384091786065237,0.0198372314211655,0.14049146548333,0.892912914513352,0.0753005295991897,0.0089947511528761
0,0,logistic_full,rank+confidence+structure+ligand+memory+physics,119198,0.6050688624382019,0.9874968450405456,0.991348138543216,0.0375999495470602,0.0146792181949454,0.1455997378061598,0.8924078485457593,,
0,0,deep_ensemble_mlp_full,rank+confidence+structure+ligand+memory+physics,119198,0.6050688624382019,0.9874387437304784,0.991731788392715,0.0398918217377074,0.0205365731345003,0.1430300639448982,0.8927284935923612,0.0781315639615058,0.0038148968502828
0,0,evidential_mlp_full,rank+confidence+structure+ligand+memory+physics,119198,0.6050688624382019,0.987294959150632,0.991590008539093,0.0395779794448669,0.0098317928382749,0.1460227264685308,0.8927732305887935,0.0436778515577316,0.029856222418986
0,0,mlp_bce_full,rank+confidence+structure+ligand+memory+physics,119198,0.6050688624382019,0.9865778427775722,0.9909473173136792,0.0416539270692931,0.0275316386721508,0.164284707075504,0.8921845560617735,0.060562677681446,0.0098833835878099
1,1009,hgb_reference_full,rank+confidence+structure+ligand+memory+physics,119198,0.6050688624382019,0.9897882231326228,0.9933981507843492,0.0351140233081013,0.0166854314961053,0.1277456726862172,0.8936459455965872,,
1,1009,deep_ensemble_mlp_full,rank+confidence+structure+ligand+memory+physics,119198,0.6050688624382019,0.9879903933806832,0.9921482229692138,0.0391146571741155,0.0200423162002321,0.1399577015800615,0.8930719151919007,0.0760867595672607,0.2081606690910767
1,1009,mlp_bce_no_memory,rank+confidence+structure+ligand+physics,119198,0.6050688624382019,0.9876695845517756,0.9920086125366768,0.0399508946698523,0.0216715150311691,0.1438059511402682,0.8929637967715907,0.0731446966528892,0.3380507822582347
1,1009,logistic_full,rank+confidence+structure+ligand+memory+physics,119198,0.6050688624382019,0.9874968450405456,0.991348138543216,0.0375999495470602,0.0146792181949454,0.1455997378061598,0.8924078485457593,,
1,1009,evidential_mlp_full,rank+confidence+structure+ligand+memory+physics,119198,0.6050688624382019,0.9873727288726512,0.9919398987456692,0.0394860748773749,0.010886393778481,0.1446195903837622,0.8926403672315129,0.0443684421479702,0.0121217094657082
1,1009,mlp_bce_full,rank+confidence+structure+ligand+memory+physics,119198,0.6050688624382019,0.9872448844894988,0.9915590274869336,0.0419491539648218,0.0295078760519899,0.1603993527419487,0.8926209634394857,0.0601701810956001,0.3316692278256645
2,2017,hgb_reference_full,rank+confidence+structure+ligand+memory+physics,119198,0.6050688624382019,0.9899378612872862,0.9935646288217402,0.0346134858748641,0.0164908291888019,0.126447664435523,0.8938270911152891,,
2,2017,evidential_mlp_full,rank+confidence+structure+ligand+memory+physics,119198,0.6050688624382019,0.9879578769404592,0.9921814862107062,0.038122971023306,0.0093163444604535,0.1403610816303286,0.8928859273287428,0.0443568713963031,0.0035875891998458
2,2017,mlp_bce_full,rank+confidence+structure+ligand+memory+physics,119198,0.6050688624382019,0.9878419510353064,0.9920260170912552,0.0404481593192396,0.0259046577829129,0.153895692970611,0.89295505553772,0.0591327585279941,0.3168081755116891
2,2017,deep_ensemble_mlp_full,rank+confidence+structure+ligand+memory+physics,119198,0.6050688624382019,0.9875183622443422,0.9918996790640644,0.0401335148076928,0.0201742236016593,0.1432790645127592,0.8928401267140853,0.0766197219491005,0.2240264170690966
2,2017,logistic_full,rank+confidence+structure+ligand+memory+physics,119198,0.6050688624382019,0.9874968450405456,0.991348138543216,0.0375999495470602,0.0146792181949454,0.1455997378061598,0.8924078485457593,,
2,2017,mlp_bce_no_memory,rank+confidence+structure+ligand+physics,119198,0.6050688624382019,0.987291620309728,0.9915635269536348,0.0401213317521938,0.0217408408186596,0.1459045261837675,0.892549079747572,0.0752672553062439,0.3089761830831245
3,3011,hgb_reference_full,rank+confidence+structure+ligand+memory+physics,119198,0.6050688624382019,0.990003890724562,0.9935259441282522,0.0347907251681325,0.0167442509027876,0.1267292601844626,0.893747888117642,,
3,3011,deep_ensemble_mlp_full,rank+confidence+structure+ligand+memory+physics,119198,0.6050688624382019,0.9877822495203488,0.9922551668740068,0.0397679916505148,0.0206076890525308,0.1418206535711751,0.8930630742814745,0.0749028325080871,0.2297372079989262
3,3011,evidential_mlp_full,rank+confidence+structure+ligand+memory+physics,119198,0.6050688624382019,0.9877200537416132,0.9920814044999628,0.0394368263726191,0.0097880211984033,0.1442265912639409,0.8929081776038318,0.0438160002231597,-0.0057346824203928
3,3011,mlp_bce_no_memory,rank+confidence+structure+ligand+physics,119198,0.6050688624382019,0.987612960331258,0.9920003872459932,0.0400236201831592,0.0207066528593874,0.1441315112762237,0.8928043157672777,0.076428934931755,0.2951036568764014
3,3011,logistic_full,rank+confidence+structure+ligand+memory+physics,119198,0.6050688624382019,0.9874968450405456,0.991348138543216,0.0375999495470602,0.0146792181949454,0.1455997378061598,0.8924078485457593,,
3,3011,mlp_bce_full,rank+confidence+structure+ligand+memory+physics,119198,0.6050688624382019,0.9866044178717556,0.9910466719759504,0.0420845375669247,0.0276899953083978,0.1647216699169976,0.8922799761836926,0.0607146769762039,0.3018989334562003
4,4001,hgb_reference_full,rank+confidence+structure+ligand+memory+physics,119198,0.6050688624382019,0.9900298770446656,0.9935138555822084,0.0347445747615276,0.0163110895364505,0.1264556308889765,0.8938425381851937,,
4,4001,mlp_bce_no_memory,rank+confidence+structure+ligand+physics,119198,0.6050688624382019,0.9879161439327012,0.9921652527256564,0.039813809945895,0.0210052132822577,0.1429488114775416,0.8930239950306166,0.0749209225177764,0.3049341599049467
4,4001,deep_ensemble_mlp_full,rank+confidence+structure+ligand+memory+physics,119198,0.6050688624382019,0.9877120446174704,0.992029881923956,0.0396187249033772,0.0203431237438119,0.1412673188658105,0.8929248707063943,0.0769238993525505,0.2266103980796122
4,4001,logistic_full,rank+confidence+structure+ligand+memory+physics,119198,0.6050688624382019,0.9874968450405456,0.991348138543216,0.0375999495470602,0.0146792181949454,0.1455997378061598,0.8924078485457593,,
4,4001,evidential_mlp_full,rank+confidence+structure+ligand+memory+physics,119198,0.6050688624382019,0.9870301888607728,0.9915342102518584,0.0390290784421759,0.0106485703018862,0.144517913315551,0.8923732113586081,0.0448921844363212,0.032989427670567
4,4001,mlp_bce_full,rank+confidence+structure+ligand+memory+physics,119198,0.6050688624382019,0.9870179833590916,0.9914204174018594,0.0411928895059917,0.0269778791882982,0.1614230144376215,0.892506215305674,0.060076393187046,0.3332443207314007
