ood_split,train_n,test_n,test_failure_rate,best_detector,best_auroc,rank_auroc,rank_confidence_auroc,structure_gain_vs_rank_conf,memory_gain_vs_rank_conf_structure,memory_only_auroc,full_brier,evidence_role
low_memory_holdout,4199,528,0.8617424242424242,rank_confidence,0.7169953334336896,0.5684780972452205,0.7169953334336896,-0.029324100556977206,0.0014150233328314998,0.6074363992172211,0.1159550557577527,main OOD reliability split matrix for TNNLS-style generalization claims
temporal_2024_holdout,3975,752,0.4680851063829787,rank_confidence_structure_memory,0.9119318181818182,0.6338955965909092,0.8107031250000001,0.05263494318181805,0.0485937500000001,0.84203125,0.1229050553406389,main OOD reliability split matrix for TNNLS-style generalization claims
joint_low_ligand_protein_ood,4230,497,0.8651911468812877,rank_confidence,0.7233946546338077,0.5875216938562999,0.7233946546338077,-0.01659146129816036,-0.06508156889968764,0.6621138493578619,0.1156597989341845,main OOD reliability split matrix for TNNLS-style generalization claims
joint_low_ligand_protein_temporal_ood,4377,350,0.8828571428571429,rank_confidence_structure,0.7326545110111296,0.559791617333649,0.7195516615360329,0.013102849475096656,-0.0017365222195910857,0.6782303259925804,0.0954848901622869,main OOD reliability split matrix for TNNLS-style generalization claims
