memory_penalty_lambda,n_queries,changed_selected_queries_vs_lambda0,success,median_rmsd,diagnosis,method_decision
0.0,4727,0,0.7000211550666384,0.8246176838874817,"query-level memory is constant across candidates, so a direct additive penalty cannot alter within-query ordering",retain as negative design diagnostic; use training-time memory reweighting for effective anti-memory control
0.03,4727,0,0.7000211550666384,0.8246176838874817,"query-level memory is constant across candidates, so a direct additive penalty cannot alter within-query ordering",retain as negative design diagnostic; use training-time memory reweighting for effective anti-memory control
0.05,4727,0,0.7000211550666384,0.8246176838874817,"query-level memory is constant across candidates, so a direct additive penalty cannot alter within-query ordering",retain as negative design diagnostic; use training-time memory reweighting for effective anti-memory control
0.07,4727,0,0.7000211550666384,0.8246176838874817,"query-level memory is constant across candidates, so a direct additive penalty cannot alter within-query ordering",retain as negative design diagnostic; use training-time memory reweighting for effective anti-memory control
0.09,4727,0,0.7000211550666384,0.8246176838874817,"query-level memory is constant across candidates, so a direct additive penalty cannot alter within-query ordering",retain as negative design diagnostic; use training-time memory reweighting for effective anti-memory control
0.11,4727,0,0.7000211550666384,0.8246176838874817,"query-level memory is constant across candidates, so a direct additive penalty cannot alter within-query ordering",retain as negative design diagnostic; use training-time memory reweighting for effective anti-memory control
0.15,4727,0,0.7000211550666384,0.8246176838874817,"query-level memory is constant across candidates, so a direct additive penalty cannot alter within-query ordering",retain as negative design diagnostic; use training-time memory reweighting for effective anti-memory control
