n_total,n_retained,coverage,failure_rate,success_rate,failure_cp_upper,benchmark,detector,target_risk
4727,0,0.0,,,,runs_n_poses,rank,0.1
4727,10,0.0021155066638459913,0.1,0.9,0.39416330243650466,runs_n_poses,rank,0.15
4727,669,0.1415273958112968,0.17638266068759342,0.8236173393124065,0.20241807806616505,runs_n_poses,rank,0.2
4727,1283,0.2714195049714407,0.23148869836321123,0.7685113016367888,0.2516939967152173,runs_n_poses,rank,0.25
4727,2641,0.5587053099217263,0.28701249526694433,0.7129875047330556,0.3018511946388229,runs_n_poses,rank,0.3
4727,3884,0.8216627882377829,0.33753861997940265,0.6624613800205974,0.35023546364083097,runs_n_poses,rank,0.35
4727,1432,0.3029405542627459,0.08798882681564246,0.9120111731843575,0.10128839738837003,runs_n_poses,rank_confidence,0.1
4727,2188,0.46287285804950284,0.1403107861060329,0.8596892138939671,0.15310937041870865,runs_n_poses,rank_confidence,0.15
4727,2813,0.5950920245398773,0.18734447209385,0.81265552790615,0.19986222264520992,runs_n_poses,rank_confidence,0.2
4727,3396,0.7184260630420986,0.23792697290930506,0.7620730270906949,0.2502578123901478,runs_n_poses,rank_confidence,0.25
4727,3897,0.8244129469007827,0.28894021041827045,0.7110597895817296,0.30112638445392864,runs_n_poses,rank_confidence,0.3
4727,4372,0.9248995134334673,0.3369167429094236,0.6630832570905765,0.34886737474917195,runs_n_poses,rank_confidence,0.35
4727,1579,0.334038502221282,0.09309689677010766,0.9069031032298923,0.10601011917852446,runs_n_poses,reference_neighborhood_only,0.1
4727,2162,0.45737254072350325,0.13829787234042554,0.8617021276595744,0.15110474656794365,runs_n_poses,reference_neighborhood_only,0.15
4727,2736,0.5788026232282631,0.18457602339181287,0.8154239766081871,0.19720664295642845,runs_n_poses,reference_neighborhood_only,0.2
4727,3333,0.7050983710598688,0.23102310231023102,0.768976897689769,0.24335421344344485,runs_n_poses,reference_neighborhood_only,0.25
4727,3889,0.822720541569706,0.2887631781949087,0.7112368218050913,0.3009600533624579,runs_n_poses,reference_neighborhood_only,0.3
4727,4415,0.9339961920880051,0.33997734994337486,0.6600226500566251,0.3518930686271593,runs_n_poses,reference_neighborhood_only,0.35
4727,2093,0.44277554474296593,0.0903010033444816,0.9096989966555185,0.10127537997730315,runs_n_poses,rank_confidence_structure,0.1
4727,2705,0.5722445525703406,0.13715341959334565,0.8628465804066543,0.1485090218315865,runs_n_poses,rank_confidence_structure,0.15
4727,3224,0.6820393484239475,0.19044665012406947,0.8095533498759305,0.20218283356698089,runs_n_poses,rank_confidence_structure,0.2
4727,3624,0.7666596149777872,0.23620309050772628,0.7637969094922737,0.24810202749729618,runs_n_poses,rank_confidence_structure,0.25
4727,4045,0.8557224455257034,0.28776266996291716,0.7122373300370828,0.29970585683484274,runs_n_poses,rank_confidence_structure,0.3
4727,4424,0.9359001480854665,0.33770343580470163,0.6622965641952984,0.34958881188235597,runs_n_poses,rank_confidence_structure,0.35
4727,2425,0.5130103659826528,0.09030927835051547,0.9096907216494845,0.10046028891962604,runs_n_poses,rank_confidence_structure_reference_neighborhood,0.1
4727,2967,0.6276708271631055,0.13987192450286484,0.8601280754971352,0.15077765486744021,runs_n_poses,rank_confidence_structure_reference_neighborhood,0.15
4727,3382,0.7154643537127142,0.18923713778829096,0.810762862211709,0.200661278282515,runs_n_poses,rank_confidence_structure_reference_neighborhood,0.2
4727,3722,0.7873915802834779,0.23804406233207953,0.7619559376679205,0.2498110533193128,runs_n_poses,rank_confidence_structure_reference_neighborhood,0.25
4727,4071,0.861222762851703,0.2861704740849914,0.7138295259150086,0.29805624446031753,runs_n_poses,rank_confidence_structure_reference_neighborhood,0.3
4727,4432,0.9375925534165432,0.3379963898916967,0.6620036101083033,0.3498732013299941,runs_n_poses,rank_confidence_structure_reference_neighborhood,0.35
4727,1987,0.42035117410619843,0.08756919979869149,0.9124308002013085,0.09870877217967913,runs_n_poses,rank_confidence_structure_reference_neighborhood_shuffled,0.1
4727,2630,0.5563782525914956,0.13954372623574143,0.8604562737642586,0.15114519862848308,runs_n_poses,rank_confidence_structure_reference_neighborhood_shuffled,0.15
4727,3169,0.6704040617727945,0.1887030609024929,0.8112969390975071,0.20050470016989613,runs_n_poses,rank_confidence_structure_reference_neighborhood_shuffled,0.2
4727,3599,0.7613708483181723,0.23589886079466518,0.7641011392053348,0.24783507621879694,runs_n_poses,rank_confidence_structure_reference_neighborhood_shuffled,0.25
4727,4031,0.852760736196319,0.28727362937236417,0.7127263706276359,0.29923226287625526,runs_n_poses,rank_confidence_structure_reference_neighborhood_shuffled,0.3
4727,4415,0.9339961920880051,0.33725934314835787,0.6627406568516421,0.34915346063496616,runs_n_poses,rank_confidence_structure_reference_neighborhood_shuffled,0.35
