case_type,n_cases_with_native_fingerprints,interpretation
harmed,1,exploratory/hypothesis-generating; not a confirmatory generalization claim
kept_official,463,exploratory/hypothesis-generating; not a confirmatory generalization claim
rescued,11,exploratory/hypothesis-generating; not a confirmatory generalization claim
unchanged_or_neutral,53,exploratory/hypothesis-generating; not a confirmatory generalization claim
