k,n_cases,mean_candidates,selector_success,oracle_success_original,oracle_success_corrected,corrected_minus_original
1,702,1.0,0.45726495726495725,0.45726495726495725,0.45726495726495725,0.0
2,702,2.0,0.5356125356125356,0.5655270655270656,0.5655270655270656,0.0
4,702,4.0,0.5612535612535613,0.6054131054131054,0.6068376068376068,0.0014245014245013454
8,702,7.3917378917378915,0.5641025641025641,0.6267806267806267,0.6282051282051282,0.0014245014245014564
16,702,12.91025641025641,0.584045584045584,0.6623931623931624,0.6652421652421653,0.002849002849002913
32,702,23.1011396011396,0.603988603988604,0.6937321937321937,0.6951566951566952,0.0014245014245014564
