original_group,n_cases,original_candidate_median,original_oracle_success,subsample_size,oracle_success_mean,simulation_p2_5,simulation_p97_5,n_repeats
discrimination-limited,64,32.0,1.0,6,0.647953125,0.5625,0.734375,1000
successful,424,32.0,1.0,6,0.8603183962264149,0.8325471698113207,0.8867924528301887,1000
