k,n_cases_random_exact_k,budget_score_cross_oracle,random_rr_oracle_mean,random_rr_p2_5,random_rr_p97_5,random_rr_min,random_rr_max
2,702,0.5655270655270656,0.324928774928775,0.2990740740740741,0.3498219373219373,0.2863247863247863,0.3717948717948718
4,702,0.6068376068376068,0.4983618233618234,0.47564102564102567,0.5229344729344729,0.4658119658119658,0.5327635327635327
8,488,0.6926229508196722,0.6899590163934428,0.6864754098360656,0.6926229508196722,0.6864754098360656,0.694672131147541
