k,comparator,n_matched,random_rr_oracle_mean,within_oracle,delta_mean,delta_p2_5,delta_p97_5,positive_delta_repeats,n_repeats
2,Boltz-family,702,0.324928774928775,0.3205128205128206,0.0044159544159543904,-0.021438746438746447,0.029309116809116763,63,100
2,Chai-family,474,0.3661392405063291,0.4219409282700422,-0.05580168776371309,-0.08760548523206753,-0.02109704641350213,1,100
2,DiffDock-family,419,0.37212410501193327,0.4009546539379474,-0.028830548926014322,-0.06455847255369929,0.01205250596658707,5,100
4,Boltz-family,412,0.570752427184466,0.6286407766990293,-0.057888349514563196,-0.08622572815533988,-0.02542475728155352,0,100
4,Chai-family,470,0.5385319148936171,0.45106382978723386,0.08746808510638301,0.058457446808510644,0.12026595744680853,100,100
4,DiffDock-family,418,0.5403588516746411,0.48803827751196166,0.05232057416267944,0.019019138755980904,0.08749999999999998,100,100
8,Boltz-family,412,0.7225728155339805,0.6601941747572815,0.062378640776698996,0.058252427184465994,0.06553398058252424,100,100
