case_type,pose_kind,n,mean_all_f1,mean_all_recall,mean_contact_f1,mean_hbond_f1,mean_hydrophobic_f1,mean_unstructured_all_f1,mean_unstructured_all_recall,mean_unstructured_contact_f1,mean_unstructured_hbond_f1,mean_unstructured_hydrophobic_f1,mean_native_interactions,mean_pred_interactions
harmed,official,1,0.0,0.0,0.0,0.0,0.0,0.8510638297872339,0.7692307692307693,0.9090909090909091,0.5714285714285715,0.888888888888889,38.0,35.0
harmed,selected,1,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.5769230769230769,0.7272727272727272,0.0,0.7368421052631577,38.0,25.0
kept_official,official,463,0.0,0.0,0.0,0.02591792656587473,0.0,0.6632083729700398,0.6851917465383512,0.7188212947826917,0.42495166473227175,0.6577413828312617,32.23974082073434,34.22894168466523
kept_official,selected,463,0.0,0.0,0.0,0.02591792656587473,0.0,0.6632083729700398,0.6851917465383512,0.7188212947826917,0.42495166473227175,0.6577413828312617,32.23974082073434,34.22894168466523
rescued,official,11,0.0,0.0,0.0,0.0,0.0,0.7871617134630383,0.8324884970346857,0.8611454331403181,0.5350886487250123,0.775660304607673,26.818181818181817,29.0
rescued,selected,11,0.0,0.0,0.0,0.09090909090909091,0.0,0.8105660164994376,0.8217342409097081,0.864806177654475,0.6491311718584446,0.8205600088375209,26.818181818181817,26.363636363636363
unchanged_or_neutral,official,53,0.0,0.0,0.0,0.018867924528301886,0.0,0.6719479579138263,0.6855670036192886,0.735829034506667,0.3804321464698823,0.6708293933512163,31.358490566037737,31.867924528301888
unchanged_or_neutral,selected,53,0.0,0.0,0.0,0.0,0.0,0.6533866413233109,0.6701269669401696,0.7316837464250966,0.3624334784712143,0.6377945298389657,31.358490566037737,32.056603773584904
