selector,dataset,n_cases,manifest_cases,case_coverage,success,any_ligand_success,pb_valid_all,median_rmsd,median_centroid_distance,mean_reference_neighborhood_tanimoto
blind_physics,all,489,702,0.6965811965811965,0.17791411042944785,0.20245398773006135,0.7832310838445807,8.981174480182325,6.01232102028995,0.5782910358418606
lodo_hgb_low_similarity_penalized,all,489,702,0.6965811965811965,0.43149284253578735,0.4396728016359918,0.37423312883435583,2.9325211932007296,1.2513150378701596,0.5782910358418606
lodo_hgb_low_similarity_weighted,all,489,702,0.6965811965811965,0.43149284253578735,0.4396728016359918,0.37423312883435583,2.9325211932007296,1.2513150378701596,0.5782910358418606
lodo_hgb_ordinary,all,489,702,0.6965811965811965,0.42535787321063395,0.4335378323108384,0.37627811860940696,2.8798730586607464,1.3733866714225975,0.5782910358418606
lodo_logreg_low_similarity_weighted,all,489,702,0.6965811965811965,0.4498977505112474,0.4621676891615542,0.6073619631901841,2.6536668916843436,1.159195508389301,0.5782910358418606
lodo_logreg_ordinary,all,489,702,0.6965811965811965,0.4376278118609407,0.4498977505112474,0.5357873210633947,2.763223560165666,1.2581726206696071,0.5782910358418606
lodo_prior_physics_calibrated,all,489,702,0.6965811965811965,0.49897750511247446,0.5132924335378323,0.6012269938650306,1.9934976922353962,0.8742410914139731,0.5782910358418606
lodo_run_prior,all,489,702,0.6965811965811965,0.49284253578732107,0.5071574642126789,0.5685071574642127,2.130415121519748,0.9239303856539872,0.5782910358418606
oracle_pool_upper_bound,all,489,702,0.6965811965811965,0.7382413087934561,0.7627811860940695,0.40081799591002043,0.9109000287369304,0.4138503810572536,0.5782910358418606
blind_physics,astex_diverse,85,85,1.0,0.16470588235294117,0.18823529411764706,0.9529411764705882,8.97506960707955,5.978256848852395,0.4344056802657449
blind_physics,dockgen,99,189,0.5238095238095238,0.23232323232323232,0.2727272727272727,0.10101010101010101,14.637827551382072,14.523575487501564,0.3086354106836678
blind_physics,posebusters_benchmark,305,428,0.7126168224299065,0.16393442622950818,0.18360655737704917,0.9573770491803278,8.66315096219326,5.7809872845106245,0.7059177968734374
lodo_hgb_low_similarity_penalized,astex_diverse,85,85,1.0,0.4823529411764706,0.5058823529411764,0.5058823529411764,2.02990430434112,1.0261090453435853,0.4344056802657449
lodo_hgb_low_similarity_penalized,dockgen,99,189,0.5238095238095238,0.3333333333333333,0.3434343434343434,0.08080808080808081,8.39180483057131,4.920548458237831,0.3086354106836678
