scope,n_total_cases,n_ok_cases,n_fail_or_exception,recorded_pocket_success_2a_count,min_recorded_top_pocket_rmsd_approx,median_recorded_top_pocket_rmsd_approx,audit_interpretation,n_sampled,n_parse_atom_count_match,parse_atom_count_match_rate,centroid_distance_le2a_count,same_order_ligand_rmsd_le2a_count,median_centroid_distance_a
all_ok_cases,702,653,49.0,0,2.2529920410702173,10.83523730778451,no recorded successful Boltz full-receptor poses among successful executions,,,,,,
stratified_coordinate_sample,702,653,,0,2.2529920410702173,11.089869642281853,coordinate parsing sanity check supports severe displacement rather than denominator loss,120.0,120.0,1.0,0.0,0.0,45.24129168462679
