dataset,n,ok,failed,ok_rate,failure_rate,top2a,top2a_all_attempts,oracle2a,oracle2a_all_attempts,median_top_rmsd,median_oracle_rmsd,median_top_confidence,vina_top2a_same_cases
astex_diverse,85,85,0,1.0,0.0,0.6941176470588235,0.6941176470588235,0.6823529411764706,0.6823529411764706,0.5906073438373375,0.5988248450089567,0.24,0.03529411764705882
dockgen,189,183,6,0.9682539682539683,0.031746031746031744,0.20218579234972678,0.19576719576719576,0.21311475409836064,0.20634920634920634,6.0787785179069855,5.554972388446228,-1.0,0.016574585635359115
posebusters_benchmark,428,424,4,0.9906542056074766,0.009345794392523364,0.4056603773584906,0.40186915887850466,0.33490566037735847,0.3317757009345794,3.2958425638638316,4.13503204945258,-0.37,0.01873536299765808
all,702,692,10,0.9857549857549858,0.014245014245014245,0.3872832369942196,0.3817663817663818,0.3453757225433526,0.34045584045584043,3.4532441501892936,4.060801580784267,-0.51,0.020202020202020204
