selector,dataset,similarity_risk,n_cases,manifest_cases,case_coverage,success,any_ligand_success,pb_valid_all,median_rmsd,median_centroid_distance,mean_memory_tanimoto
blind_physics,astex_diverse,high_ligand_or_scaffold,27,85,0.3176470588235294,0.1111111111111111,0.14814814814814814,0.8888888888888888,17.741235279195323,17.188020309506275,0.6473362666035998
blind_physics,astex_diverse,low_similarity,46,85,0.5411764705882353,0.17391304347826086,0.17391304347826086,1.0,7.958164557220442,4.928579720741277,0.29098164783725144
blind_physics,astex_diverse,mid_or_unknown,12,85,0.1411764705882353,0.25,0.3333333333333333,0.9166666666666666,12.364471221710712,10.210911435305668,0.5051039853147968
blind_physics,dockgen,high_ligand_or_scaffold,15,189,0.07936507936507936,0.06666666666666667,0.06666666666666667,0.4,19.1446807146006,18.88855511781805,0.5372906593743747
blind_physics,dockgen,low_similarity,75,189,0.3968253968253968,0.25333333333333335,0.30666666666666664,0.02666666666666667,14.637827551382072,14.523575487501564,0.23795292198987827
blind_physics,dockgen,mid_or_unknown,9,189,0.047619047619047616,0.3333333333333333,0.3333333333333333,0.2222222222222222,3.937925399101524,3.1060237929259693,0.516564068647402
blind_physics,posebusters_benchmark,high_ligand_or_scaffold,122,428,0.2850467289719626,0.22950819672131148,0.27049180327868855,0.9836065573770492,9.292332298468448,5.958391692212338,0.781905794917732
blind_physics,posebusters_benchmark,low_similarity,68,428,0.1588785046728972,0.16176470588235295,0.17647058823529413,0.9264705882352942,7.825470472360161,4.820577878497719,0.29134839213261715
blind_physics,posebusters_benchmark,mid_or_unknown,30,428,0.07009345794392523,0.13333333333333333,0.13333333333333333,0.9,6.1120019184246175,2.6390989659322575,0.5400922302447368
blind_physics,posebusters_benchmark,pdb_overlap,85,428,0.1985981308411215,0.08235294117647059,0.08235294117647059,0.9647058823529412,10.06582005352768,7.613506562594554,0.9870348646361766
lodo_hgb_antimemory_penalized,astex_diverse,high_ligand_or_scaffold,27,85,0.3176470588235294,0.2962962962962963,0.3333333333333333,0.2962962962962963,4.196647890876718,3.6422632808956985,0.6473362666035998
lodo_hgb_antimemory_penalized,astex_diverse,low_similarity,46,85,0.5411764705882353,0.5869565217391305,0.5869565217391305,0.5869565217391305,1.1792249586867989,0.45731413470164695,0.29098164783725144
lodo_hgb_antimemory_penalized,astex_diverse,mid_or_unknown,12,85,0.1411764705882353,0.5,0.5833333333333334,0.6666666666666666,3.5548686338632054,3.0857442073265844,0.5051039853147968
lodo_hgb_antimemory_penalized,dockgen,high_ligand_or_scaffold,15,189,0.07936507936507936,0.06666666666666667,0.06666666666666667,0.26666666666666666,23.754991853082164,23.345515235104617,0.5372906593743747
