dataset,n_ok,n_total,ok_rate,top_success_2a,oracle_success_2a,median_top_rmsd,median_oracle_rmsd
all,693,702,0.9871794871794872,0.020202020202020204,0.03607503607503607,5.744706519919012,4.510863476951205
astex_diverse,85,85,1.0,0.03529411764705882,0.03529411764705882,4.773580356614167,4.103672342220769
dockgen,181,189,0.9576719576719577,0.016574585635359115,0.03314917127071823,6.538653607586197,4.55166088567479
posebusters_benchmark,427,428,0.9976635514018691,0.01873536299765808,0.03747072599531616,5.80629170892153,4.603006533777679
