dataset,n,ok,ok_rate,top2a,oracle2a,median_top_rmsd,median_oracle_rmsd,median_top_confidence,vina_top2a_same_cases
astex_diverse,2,2,1.0,0.0,0.0,30.902420910012754,11.68000626318535,-2.0549999999999997,0.0
dockgen,1,1,1.0,0.0,0.0,29.825561769323212,29.825561769323212,-2.5,0.0
posebusters_benchmark,1,1,1.0,0.0,0.0,5.097585348136749,5.097585348136749,-1.74,0.0
all,4,4,1.0,0.0,0.0,26.491614899803203,12.956196681360492,-2.0549999999999997,0.0
