dataset,n_cases,n_metric_ok,score_ranked_success_2a,oracle_best_success_2a,median_score_ranked_pocket_rmsd,median_oracle_best_pocket_rmsd,mean_n_samples_eval
all,702,622,0.01929260450160772,0.028938906752411574,6.917547233150431,6.260445936617328,5.0
astex_diverse,85,74,0.013513513513513514,0.02702702702702703,6.45293858408254,5.997764809036352,5.0
dockgen,189,168,0.017857142857142856,0.03571428571428571,8.16974362905587,7.199143572943105,5.0
posebusters_benchmark,428,380,0.021052631578947368,0.02631578947368421,6.742795303706312,6.149621024980648,5.0
