dataset,n,ok,non_ok,ok_rate,class_ok,class_cuda_oom
astex_diverse,3,3,0,1.0,3,0.0
dockgen,8,8,0,1.0,8,0.0
posebusters_benchmark,12,11,1,0.9166666666666666,11,1.0
all,23,22,1,0.9565217391304348,22,1.0
