dataset,n,ok,ok_rate,top2a_approx,pocket_top2a_approx,top2a_approx_all_attempts,pocket_top2a_approx_all_attempts,median_top_rmsd_approx,median_top_pocket_rmsd_approx,median_receptor_ca_rmsd_after_fit,median_pocket_ca_rmsd_after_fit,median_boltz_confidence_score,median_boltz_ligand_iptm,median_boltz_complex_plddt,vina_top2a_same_cases
astex_diverse,85,76,0.8941176470588236,0.0,0.0,0.0,0.0,14.758732628365653,9.819017033380378,20.295450907644224,11.879231065862886,0.3943779170513153,0.40328946709632874,0.41539670526981354,0.03529411764705882
dockgen,189,182,0.9629629629629629,0.0,0.0,0.0,0.0,17.718196821786364,11.735136984766807,21.248518460364025,12.069600592001056,0.39944835007190704,0.4141863286495209,0.41023993492126465,0.016574585635359115
posebusters_benchmark,428,395,0.9228971962616822,0.0,0.0,0.0,0.0,14.422413207623684,10.732963107943856,19.224395651034257,11.732808489862691,0.40720516443252563,0.3861243724822998,0.4248397648334503,0.01873536299765808
all,702,653,0.9301994301994302,0.0,0.0,0.0,0.0,15.096565205991885,10.83523730778451,19.80384303952826,11.869787439012729,0.40392109751701355,0.3979686200618744,0.4169245958328247,0.020202020202020204
