selector,dataset,n_cases,success,success_ci_low,success_ci_high,median_rmsd,median_rmsd_ci_low,median_rmsd_ci_high,pb_valid_all,pb_valid_all_ci_low,pb_valid_all_ci_high,n_bootstrap
blind_physics,all,489,0.17791411042944785,0.14519427402862986,0.21267893660531698,8.981174480182325,7.747909488658502,10.073564361952842,0.7832310838445807,0.7464212678936605,0.8179959100204499,2000
lodo_hgb_antimemory_penalized,all,489,0.43149284253578735,0.38650306748466257,0.47443762781186094,2.9325211932007296,2.225877576996942,4.172443720918326,0.37423312883435583,0.33537832310838445,0.4171779141104294,2000
lodo_hgb_antimemory_weighted,all,489,0.43149284253578735,0.38650306748466257,0.47443762781186094,2.9325211932007296,2.205897391176661,4.106645014071706,0.37423312883435583,0.3312883435582822,0.4171779141104294,2000
lodo_hgb_ordinary,all,489,0.42535787321063395,0.3803680981595092,0.4703476482617587,2.8798730586607464,2.225877576996942,4.060285631155945,0.37627811860940696,0.3333333333333333,0.41922290388548056,2000
lodo_logreg_antimemory_weighted,all,489,0.4498977505112474,0.40899795501022496,0.49284253578732107,2.6536668916843436,2.0576077253658425,3.6357627403305717,0.6073619631901841,0.5644171779141104,0.6523517382413088,2000
lodo_logreg_ordinary,all,489,0.4376278118609407,0.3946830265848671,0.48261758691206547,2.763223560165666,2.147537482324555,3.985105549373806,0.5357873210633947,0.49079754601226994,0.5787321063394683,2000
lodo_prior_physics_calibrated,all,489,0.49897750511247446,0.4539877300613497,0.5439672801635992,1.9934976922353962,1.7128394460457577,2.6442409509437947,0.6012269938650306,0.5582310838445808,0.6441717791411042,2000
lodo_run_prior,all,489,0.49284253578732107,0.4498977505112474,0.5357873210633947,2.130415121519748,1.7069943111237,2.6729519150962417,0.5685071574642127,0.523517382413088,0.6114519427402862,2000
oracle_pool_upper_bound,all,489,0.7382413087934561,0.6993865030674846,0.7770961145194274,0.9109000287369304,0.7571101649528957,0.992173611440102,0.40081799591002043,0.35787321063394684,0.4437627811860941,2000
blind_physics,astex_diverse,85,0.16470588235294117,0.09382352941176472,0.24705882352941178,8.97506960707955,6.585126857340922,12.986864951783478,0.9529411764705882,0.9058823529411765,0.9882352941176471,2000
blind_physics,dockgen,99,0.23232323232323232,0.15151515151515152,0.32323232323232326,14.637827551382072,5.923588962782614,21.18947044845564,0.10101010101010101,0.050252525252525264,0.16161616161616163,2000
blind_physics,posebusters_benchmark,305,0.16393442622950818,0.12450819672131148,0.20655737704918034,8.66315096219326,7.041842610323764,9.887281080593729,0.9573770491803278,0.9311475409836065,0.9770491803278688,2000
lodo_hgb_antimemory_penalized,astex_diverse,85,0.4823529411764706,0.38823529411764707,0.5882352941176471,2.02990430434112,1.098500802654277,4.7193351805807,0.5058823529411764,0.4,0.611764705882353,2000
lodo_hgb_antimemory_penalized,dockgen,99,0.3333333333333333,0.24242424242424243,0.43434343434343436,8.39180483057131,5.6537600766840015,23.69214246381518,0.08080808080808081,0.030303030303030304,0.1414141414141414,2000
lodo_hgb_antimemory_penalized,posebusters_benchmark,305,0.4491803278688525,0.39344262295081966,0.5081967213114754,2.509855474590785,1.916283354055528,3.3262073002144303,0.43278688524590164,0.380327868852459,0.4885245901639344,2000
lodo_hgb_antimemory_weighted,astex_diverse,85,0.4823529411764706,0.3761764705882353,0.5882352941176471,2.02990430434112,1.098500802654277,4.7193351805807,0.5058823529411764,0.4,0.611764705882353,2000
lodo_hgb_antimemory_weighted,dockgen,99,0.3333333333333333,0.24242424242424243,0.42424242424242425,8.39180483057131,5.02077343892353,23.21137187043239,0.08080808080808081,0.030303030303030304,0.1414141414141414,2000
lodo_hgb_antimemory_weighted,posebusters_benchmark,305,0.4491803278688525,0.39344262295081966,0.5049180327868853,2.509855474590785,1.916283354055528,3.366055478665579,0.43278688524590164,0.380327868852459,0.4885245901639344,2000
lodo_hgb_ordinary,astex_diverse,85,0.5294117647058824,0.4235294117647059,0.6352941176470588,1.618826408647338,0.8947861633642691,3.1619629865533425,0.5882352941176471,0.4823529411764706,0.6941176470588235,2000
lodo_hgb_ordinary,dockgen,99,0.36363636363636365,0.2727272727272727,0.4547979797979784,7.083664373818757,2.6220360489512724,19.338092163288326,0.0707070707070707,0.030303030303030304,0.12121212121212122,2000
lodo_hgb_ordinary,posebusters_benchmark,305,0.4163934426229508,0.3639344262295082,0.4721311475409836,2.865474382393576,2.1979240599683103,4.060285631155945,0.4163934426229508,0.36065573770491804,0.4721311475409836,2000
lodo_logreg_antimemory_weighted,astex_diverse,85,0.5529411764705883,0.4588235294117647,0.6588235294117647,1.4738001057357366,0.9635138289960696,3.1619629865533425,0.788235294117647,0.6941176470588235,0.8705882352941177,2000
lodo_logreg_antimemory_weighted,dockgen,99,0.31313131313131315,0.2222222222222222,0.40404040404040403,13.890407760308406,6.325654737867781,27.777738394412843,0.10101010101010101,0.050505050505050504,0.16161616161616163,2000
lodo_logreg_antimemory_weighted,posebusters_benchmark,305,0.46557377049180326,0.4098360655737705,0.5180327868852459,2.23743919470452,1.7120310413399715,3.0471955260472314,0.7213114754098361,0.6720491803278689,0.7737704918032787,2000
lodo_logreg_ordinary,astex_diverse,85,0.5764705882352941,0.47058823529411764,0.6823529411764706,1.384183346076507,0.9098487286067768,2.6607233347997346,0.7764705882352941,0.6823529411764706,0.8588235294117647,2000
lodo_logreg_ordinary,dockgen,99,0.30303030303030304,0.21212121212121213,0.3939393939393939,16.54435315293912,6.38581550688712,26.65782646537281,0.10101010101010101,0.04040404040404041,0.16161616161616163,2000
lodo_logreg_ordinary,posebusters_benchmark,305,0.4426229508196721,0.3901639344262295,0.49836065573770494,2.5112084013307876,1.929572006948691,3.3456205153573,0.6098360655737705,0.5540983606557377,0.6655737704918033,2000
lodo_prior_physics_calibrated,astex_diverse,85,0.6352941176470588,0.5411764705882353,0.7411764705882353,1.2921485308545118,0.9097573502735345,1.711018766599353,0.8,0.7176470588235294,0.8823529411764706,2000
lodo_prior_physics_calibrated,dockgen,99,0.3838383838383838,0.29292929292929293,0.48484848484848486,5.470953770047779,2.353113919540091,15.093373912653652,0.10101010101010101,0.050505050505050504,0.16161616161616163,2000
lodo_prior_physics_calibrated,posebusters_benchmark,305,0.49836065573770494,0.4426229508196721,0.5573770491803278,2.0129570473976277,1.6824496664337651,2.802301014219604,0.7081967213114754,0.659016393442623,0.7573770491803279,2000
lodo_run_prior,astex_diverse,85,0.6235294117647059,0.5176470588235295,0.7294117647058823,1.2588566438727637,0.9098487286067768,1.736689670235854,0.6588235294117647,0.5647058823529412,0.7529411764705882,2000
lodo_run_prior,dockgen,99,0.36363636363636365,0.2724747474747475,0.45454545454545453,6.520460521731156,2.310609001732853,19.338092163288326,0.06060606060606061,0.020202020202020204,0.1111111111111111,2000
lodo_run_prior,posebusters_benchmark,305,0.49836065573770494,0.4426229508196721,0.5540983606557377,2.0129570473976277,1.685959504682295,2.802301014219604,0.7081967213114754,0.659016393442623,0.7573770491803279,2000
oracle_pool_upper_bound,astex_diverse,85,0.8705882352941177,0.8,0.9411764705882353,0.4963077176571613,0.4420727796213483,0.5932361927958432,0.4588235294117647,0.35294117647058826,0.5647058823529412,2000
