dataset,n_cases,n_metric_ok,score_ranked_symmetry_success_2a,oracle_best_symmetry_success_2a,median_score_ranked_symmetry_pocket_rmsd,median_oracle_best_symmetry_pocket_rmsd,mean_n_samples_eval
all,702,622,0.43086816720257237,0.5176848874598071,2.8681235845473676,1.8511342372232282,5.0
astex_diverse,85,74,0.47297297297297297,0.5675675675675675,2.647817662270584,1.1033666896480123,5.0
dockgen,189,168,0.3333333333333333,0.4226190476190476,5.615054865193352,3.2821847772092614,5.0
posebusters_benchmark,428,380,0.46578947368421053,0.55,2.390286767564116,1.621091648717581,5.0
