dataset,mol_id,tag,status,metric_status,prediction_cif,model_idx,symmetry_pocket_rmsd,symmetry_method,score_npz,chai_aggregate_score,chai_ptm,chai_iptm,chai_has_inter_chain_clashes,pocket_cutoff_a,pred_ligand_heavy_atoms,native_ligand_heavy_atoms,pocket_matched_ca,pocket_matched_residues_preview,n_samples_eval,score_ranked_prediction_cif,score_ranked_model_idx,score_ranked_symmetry_pocket_rmsd,score_ranked_symmetry_method,score_ranked_score_npz,score_ranked_chai_aggregate_score,score_ranked_chai_ptm,score_ranked_chai_iptm,score_ranked_chai_has_inter_chain_clashes,score_ranked_pocket_cutoff_a,score_ranked_pred_ligand_heavy_atoms,score_ranked_native_ligand_heavy_atoms,score_ranked_pocket_matched_ca,score_ranked_pocket_matched_residues_preview,score_ranked_pocket_ca_rmsd_after_fit,score_ranked_symmetry_success_2a,oracle_best_symmetry_pocket_rmsd,oracle_best_symmetry_success_2a,oracle_best_model_idx,exception_type
astex_diverse,1HVY_D16,oracle_pocket_crop_s5_t200,ok,no_valid_symmetry_rmsd,results/posebench_702_predictions/chai1_gpu/astex_diverse/1HVY_D16/oracle_pocket_crop_s5_t200/predictions/pred.model_idx_0.cif,0.0,,pred_atom_count_mismatch,<REMOTE_PROJECT_ROOT>/results/posebench_702_predictions/chai1_gpu/astex_diverse/1HVY_D16/oracle_pocket_crop_s5_t200/predictions/scores.model_idx_0.npz,0.9099636077880859,0.9481890797615051,0.9004071950912476,False,10.0,32.0,32.0,0.0,,5.0,,,,,,,,,,,,,,,,,,,,
astex_diverse,1HWI_115,oracle_pocket_crop_s5_t200,ok,ok,,,,,,,,,,,,,,,5.0,results/posebench_702_predictions/chai1_gpu/astex_diverse/1HWI_115/oracle_pocket_crop_s5_t200/predictions/pred.model_idx_2.cif,2.0,33.56215161605935,canonical_symmetry_classes:exact=27;greedy=0;direct=0,<REMOTE_PROJECT_ROOT>/results/posebench_702_predictions/chai1_gpu/astex_diverse/1HWI_115/oracle_pocket_crop_s5_t200/predictions/scores.model_idx_2.npz,0.8213292360305786,0.8850010633468628,0.8054112792015076,False,10.0,30.0,30.0,90.0,"B:228:2.76,B:229:2.78,A:265:2.80,B:221:2.80,A:89:2.81,B:222:2.82,B:230:3.01,B:128:3.01,A:285:3.04,A:90:3.15,A:281:3.30,A:391:3.31",0.6434555361682751,False,33.34063305562919,False,4.0,
astex_diverse,1HWW_SWA,oracle_pocket_crop_s5_t200,exception,not_ok,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RuntimeError
astex_diverse,1J3J_CP6,oracle_pocket_crop_s5_t200,ok,ok,,,,,,,,,,,,,,,5.0,results/posebench_702_predictions/chai1_gpu/astex_diverse/1J3J_CP6/oracle_pocket_crop_s5_t200/predictions/pred.model_idx_3.cif,3.0,0.3044627715917717,canonical_symmetry_classes:exact=15;greedy=0;direct=0,<REMOTE_PROJECT_ROOT>/results/posebench_702_predictions/chai1_gpu/astex_diverse/1J3J_CP6/oracle_pocket_crop_s5_t200/predictions/scores.model_idx_3.npz,0.4162358343601227,0.6055816411972046,0.3688993453979492,False,10.0,17.0,17.0,71.0,"A:53:2.64,A:13:2.77,A:153:2.92,A:97:3.06,A:14:3.12,A:100:3.30,A:159:3.32,A:174:3.41,A:57:3.53,A:101:3.61,A:15:3.73,A:54:3.97",0.30023521616647236,True,0.29104179180360396,True,4.0,
astex_diverse,1N1M_A3M,oracle_pocket_crop_s5_t200,ok,ok,,,,,,,,,,,,,,,5.0,results/posebench_702_predictions/chai1_gpu/astex_diverse/1N1M_A3M/oracle_pocket_crop_s5_t200/predictions/pred.model_idx_4.cif,4.0,0.5370260484982037,canonical_symmetry_classes:exact=9;greedy=0;direct=0,<REMOTE_PROJECT_ROOT>/results/posebench_702_predictions/chai1_gpu/astex_diverse/1N1M_A3M/oracle_pocket_crop_s5_t200/predictions/scores.model_idx_4.npz,0.826261043548584,0.9474841952323914,0.795955240726471,False,10.0,12.0,12.0,56.0,"A:671:2.80,A:167:2.81,A:623:2.82,A:591:2.95,A:166:3.02,A:508:3.24,A:592:3.58,A:617:3.62,A:86:3.69,A:627:3.71,A:672:3.78,A:620:4.12",0.25458934567053654,True,0.5137026203119922,True,2.0,
astex_diverse,1OF6_DTY,oracle_pocket_crop_s5_t200,exception,not_ok,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RuntimeError
astex_diverse,1Q1G_MTI,oracle_pocket_crop_s5_t200,ok,no_valid_symmetry_rmsd,results/posebench_702_predictions/chai1_gpu/astex_diverse/1Q1G_MTI/oracle_pocket_crop_s5_t200/predictions/pred.model_idx_0.cif,0.0,,pred_atom_count_mismatch,<REMOTE_PROJECT_ROOT>/results/posebench_702_predictions/chai1_gpu/astex_diverse/1Q1G_MTI/oracle_pocket_crop_s5_t200/predictions/scores.model_idx_0.npz,0.8513401746749878,0.9064851999282837,0.837553858757019,False,10.0,20.0,20.0,0.0,,5.0,,,,,,,,,,,,,,,,,,,,
astex_diverse,1Q4G_BFL,oracle_pocket_crop_s5_t200,ok,no_valid_symmetry_rmsd,results/posebench_702_predictions/chai1_gpu/astex_diverse/1Q4G_BFL/oracle_pocket_crop_s5_t200/predictions/pred.model_idx_0.cif,0.0,,pred_atom_count_mismatch,<REMOTE_PROJECT_ROOT>/results/posebench_702_predictions/chai1_gpu/astex_diverse/1Q4G_BFL/oracle_pocket_crop_s5_t200/predictions/scores.model_idx_0.npz,0.38210922479629517,0.8645814657211304,0.26149114966392517,False,10.0,17.0,17.0,0.0,,5.0,,,,,,,,,,,,,,,,,,,,
astex_diverse,1SQ5_PAU,oracle_pocket_crop_s5_t200,ok,ok,,,,,,,,,,,,,,,5.0,results/posebench_702_predictions/chai1_gpu/astex_diverse/1SQ5_PAU/oracle_pocket_crop_s5_t200/predictions/pred.model_idx_3.cif,3.0,46.21953014142832,canonical_symmetry_classes:exact=14;greedy=0;direct=0,<REMOTE_PROJECT_ROOT>/results/posebench_702_predictions/chai1_gpu/astex_diverse/1SQ5_PAU/oracle_pocket_crop_s5_t200/predictions/scores.model_idx_3.npz,0.837358832359314,0.9119560718536377,0.8187094926834106,False,10.0,15.0,15.0,65.0,"A:225:2.63,A:267:2.74,A:113:2.80,A:163:3.06,A:131:3.34,A:132:3.37,A:266:3.60,A:186:3.64,A:116:3.77,A:262:4.01,A:83:4.09,A:166:4.17",0.7573430859039473,False,46.21953014142832,False,3.0,
astex_diverse,1T9B_1CS,oracle_pocket_crop_s5_t200,exception,not_ok,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RuntimeError
