dataset,n,ok,ok_rate,top2a_approx,pocket_top2a_approx,median_top_rmsd_approx,median_top_pocket_rmsd_approx,median_receptor_ca_rmsd_after_fit,median_pocket_ca_rmsd_after_fit,median_boltz_confidence_score,median_boltz_ligand_iptm,median_boltz_complex_plddt,vina_top2a_same_cases
astex_diverse,3,3,1.0,0.0,0.0,10.853021160536956,8.118648826664842,20.102620288577718,9.287567294288028,0.32390764355659485,0.3508811891078949,0.3762015104293823,0.0
dockgen,2,2,1.0,0.0,0.0,29.734237698968016,16.052557480729977,25.996089677757265,9.338977475015845,0.5012092590332031,0.759506106376648,0.4366350471973419,0.0
posebusters_benchmark,2,2,1.0,0.0,0.0,11.59193168293348,10.443930551369704,14.00960073877592,12.555952732765185,0.41835619509220123,0.32133395969867706,0.4426117241382599,0.0
all,7,7,1.0,0.0,0.0,12.314585611631584,10.669103092684823,20.102620288577718,10.037224447653776,0.49759894609451294,0.3508811891078949,0.42029038071632385,0.0
