dataset,n_cases,success_2a,median_rmsd,public_pool_coverage,fallback_cases,start_conf_success_on_fallback
all,702,0.35327635327635326,4.760998124643313,0.6965811965811965,213,0.0
astex_diverse,85,0.6352941176470588,1.2921485308545118,1.0,0,
dockgen,189,0.21693121693121692,7.120312431981637,0.5238095238095238,90,0.0
posebusters_benchmark,428,0.3574766355140187,4.654656744784161,0.7126168224299065,123,0.0
