dataset,n_ok,n_total,ok_rate,top_success_2a,oracle_success_2a,median_top_rmsd,median_oracle_rmsd
all,1,1,1.0,0.0,0.0,4.745866607601067,4.53240903567481
dockgen,1,1,1.0,0.0,0.0,4.745866607601067,4.53240903567481
