dataset,gpu,ligand_file,method,mol_id,n_predictions,oracle_confidence,oracle_prediction_sdf,oracle_rank,oracle_rmsd,oracle_success_2a,output_dir,protein_pdb,returncode,runtime_sec,samples,status,steps,tag,top_confidence,top_prediction_sdf,top_rank,top_rmsd,top_success_2a,status_json,vina_status,vina_top_rmsd,vina_oracle_rmsd,vina_top_success_2a,vina_oracle_success_2a
astex_diverse,0,external/PoseBench/data/astex_diverse_set/1G9V_RQ3/1G9V_RQ3_ligand.sdf,diffdock_l_gpu,1G9V_RQ3,5,-2.04,results/posebench_702_predictions/diffdock_l_gpu/astex_diverse/1G9V_RQ3/smoke_s5_t10/predictions/1G9V_RQ3/rank2_confidence-2.04.sdf,2,20.814808014584234,False,results/posebench_702_predictions/diffdock_l_gpu/astex_diverse/1G9V_RQ3/smoke_s5_t10,external/PoseBench/data/astex_diverse_set/1G9V_RQ3/1G9V_RQ3_protein.pdb,0,410.248,5,ok,10,smoke_s5_t10,-1.96,results/posebench_702_predictions/diffdock_l_gpu/astex_diverse/1G9V_RQ3/smoke_s5_t10/predictions/1G9V_RQ3/rank1_confidence-1.96.sdf,1,23.15766803028319,False,results/posebench_702_predictions/diffdock_l_gpu/astex_diverse/1G9V_RQ3/smoke_s5_t10/run_status.json,ok,5.6613191642937775,3.9313601513979854,False,False
astex_diverse,0,external/PoseBench/data/astex_diverse_set/1GKC_NFH/1GKC_NFH_ligand.sdf,diffdock_l_gpu,1GKC_NFH,5,-3.01,results/posebench_702_predictions/diffdock_l_gpu/astex_diverse/1GKC_NFH/smoke_s5_t10/predictions/1GKC_NFH/rank2_confidence-3.01.sdf,2,2.545204511786466,False,results/posebench_702_predictions/diffdock_l_gpu/astex_diverse/1GKC_NFH/smoke_s5_t10,external/PoseBench/data/astex_diverse_set/1GKC_NFH/1GKC_NFH_protein.pdb,0,35.725,5,ok,10,smoke_s5_t10,-2.15,results/posebench_702_predictions/diffdock_l_gpu/astex_diverse/1GKC_NFH/smoke_s5_t10/predictions/1GKC_NFH/rank1_confidence-2.15.sdf,1,38.64717378974232,False,results/posebench_702_predictions/diffdock_l_gpu/astex_diverse/1GKC_NFH/smoke_s5_t10/run_status.json,ok,5.585912141677978,4.518005075654116,False,False
dockgen,3,external/PoseBench/data/dockgen_set/3gvl_1_SLB_2/3gvl_1_SLB_2_ligand.pdb,diffdock_l_gpu,3gvl_1_SLB_2,5,-2.5,results/posebench_702_predictions/diffdock_l_gpu/dockgen/3gvl_1_SLB_2/smoke_s5_t10/predictions/3gvl_1_SLB_2/rank1_confidence-2.50.sdf,1,29.825561769323212,False,results/posebench_702_predictions/diffdock_l_gpu/dockgen/3gvl_1_SLB_2/smoke_s5_t10,external/PoseBench/data/dockgen_set/3gvl_1_SLB_2/3gvl_1_SLB_2_protein_processed.pdb,0,41.35,5,ok,10,smoke_s5_t10,-2.5,results/posebench_702_predictions/diffdock_l_gpu/dockgen/3gvl_1_SLB_2/smoke_s5_t10/predictions/3gvl_1_SLB_2/rank1_confidence-2.50.sdf,1,29.825561769323212,False,results/posebench_702_predictions/diffdock_l_gpu/dockgen/3gvl_1_SLB_2/smoke_s5_t10/run_status.json,ok,4.737909213385764,4.457812836550485,False,False
posebusters_benchmark,2,external/PoseBench/data/posebusters_benchmark_set/5S8I_2LY/5S8I_2LY_ligand.sdf,diffdock_l_gpu,5S8I_2LY,5,-1.74,results/posebench_702_predictions/diffdock_l_gpu/posebusters_benchmark/5S8I_2LY/smoke_s5_t10/predictions/5S8I_2LY/rank1_confidence-1.74.sdf,1,5.097585348136749,False,results/posebench_702_predictions/diffdock_l_gpu/posebusters_benchmark/5S8I_2LY/smoke_s5_t10,external/PoseBench/data/posebusters_benchmark_set/5S8I_2LY/5S8I_2LY_protein.pdb,0,29.044,5,ok,10,smoke_s5_t10,-1.74,results/posebench_702_predictions/diffdock_l_gpu/posebusters_benchmark/5S8I_2LY/smoke_s5_t10/predictions/5S8I_2LY/rank1_confidence-1.74.sdf,1,5.097585348136749,False,results/posebench_702_predictions/diffdock_l_gpu/posebusters_benchmark/5S8I_2LY/smoke_s5_t10/run_status.json,ok,5.02609301545445,2.769130438353416,False,False
