selector,baseline,n_cases,selector_success,baseline_success,delta_success,rescued,harmed,net_rescue,binomial_p_greater
extended_lodo_hgb_no_memory,DiffDock-L default s10/t20,702,0.4515669515669516,0.3817663817663818,0.06980056980056981,69,20,49,8.884820300356943e-08
extended_lodo_hgb_full_memory,DiffDock-L default s10/t20,702,0.45014245014245013,0.3817663817663818,0.06837606837606836,69,21,48,1.940908722028159e-07
extended_lodo_hgb_validity_aware,DiffDock-L default s10/t20,702,0.44871794871794873,0.3817663817663818,0.06695156695156695,73,26,47,1.2420630697559885e-06
