selector,method,similarity_bin,n,success,median_rmsd,pb_valid_all,replacement_rate,eligible_rate
geometry_filter_clash_only,all_methods,all,4727,0.6247091178337212,1.096609354019165,0.6981386565956299,0.09287074254283902,0.9767294266976941
geometry_filter_clash_only,all_methods,high,2100,0.8914285714285715,0.4436071962118149,0.7697082557417753,0.09619047619047619,0.9676190476190476
geometry_filter_clash_only,all_methods,low,528,0.14583333333333334,8.098996639251709,0.4709976798143852,0.13446969696969696,0.9886363636363636
geometry_filter_clash_only,all_methods,mid,2099,0.4783230109575989,2.1189682483673096,0.6876876876876877,0.07908527870414483,0.9828489757027156
geometry_filter_clash_only,af3,all,697,0.6327116212338594,0.9998206496238708,0.7,0.1133428981348637,0.9870875179340028
geometry_filter_clash_only,af3,high,300,0.91,0.3315538167953491,0.7838827838827839,0.09,0.9866666666666667
geometry_filter_clash_only,af3,low,97,0.1958762886597938,6.997989654541016,0.4155844155844156,0.20618556701030927,0.9896907216494846
geometry_filter_clash_only,af3,mid,300,0.49666666666666665,2.0027053356170654,0.6962962962962963,0.10666666666666667,0.9866666666666667
geometry_filter_clash_only,af3_no_template,all,697,0.6441893830703013,0.9923554062843324,0.6634460547504025,0.11190817790530846,0.9842180774748924
geometry_filter_clash_only,af3_no_template,high,300,0.9266666666666666,0.34777654707431793,0.7408759124087592,0.08666666666666667,0.9866666666666667
geometry_filter_clash_only,af3_no_template,low,97,0.1958762886597938,7.541641712188721,0.38571428571428573,0.27835051546391754,1.0
geometry_filter_clash_only,af3_no_template,mid,300,0.5066666666666667,1.8622468709945679,0.6570397111913358,0.08333333333333333,0.9766666666666667
geometry_filter_clash_only,boltz,all,670,0.6104477611940299,1.2434899806976318,0.5470383275261324,0.15223880597014924,0.9537313432835821
geometry_filter_clash_only,boltz,high,300,0.8566666666666667,0.5935752093791962,0.6031746031746031,0.16,0.9466666666666667
geometry_filter_clash_only,boltz,low,70,0.1,8.46573257446289,0.29508196721311475,0.12857142857142856,0.9428571428571428
geometry_filter_clash_only,boltz,mid,300,0.48333333333333334,2.068337917327881,0.5517241379310345,0.15,0.9633333333333334
geometry_filter_clash_only,boltz1x,all,666,0.6201201201201201,1.1667418479919434,0.9162717219589257,0.04954954954954955,0.975975975975976
geometry_filter_clash_only,boltz1x,high,300,0.85,0.5390196144580841,0.927007299270073,0.08666666666666667,0.9666666666666667
geometry_filter_clash_only,boltz1x,low,66,0.06060606060606061,7.1792778968811035,0.8153846153846154,0.015151515151515152,1.0
geometry_filter_clash_only,boltz1x,mid,300,0.5133333333333333,1.9119031429290776,0.9285714285714286,0.02,0.98
geometry_filter_clash_only,boltz2,all,630,0.6936507936507936,0.9459085762500762,,0.05555555555555555,0.9873015873015873
geometry_filter_clash_only,boltz2,high,300,0.91,0.4376079589128494,,0.043333333333333335,0.98
geometry_filter_clash_only,boltz2,low,31,0.06451612903225806,8.908732414245605,,0.16129032258064516,1.0
