selector,method,similarity_bin,n,success,median_rmsd,pb_valid_all,mean_reference_neighborhood_similarity,pair_auroc,pair_auprc,official_success,delta_vs_official
official_ranking,all_methods,all,4727,0.6244975671673366,1.109410047531128,0.6682938735660239,0.6742088057849303,,,0.6244975671673366,0.0
official_ranking,all_methods,high,2100,0.8885714285714286,0.4438283741474151,0.7566666666666667,0.9392622346509136,,,0.8885714285714286,0.0
official_ranking,all_methods,low,528,0.1382575757575757,8.14870548248291,0.4124748490945674,0.2680201538600677,,,0.1382575757575757,0.0
official_ranking,all_methods,mid,2099,0.4826107670319199,2.0988357067108154,0.6505555555555556,0.5112051886328396,,,0.4826107670319199,0.0
oracle_min_rmsd,all_methods,all,4727,0.7141950497144066,0.7500402331352234,0.7729468599033816,0.6742088057849303,,,0.6244975671673366,0.08969748254707
oracle_min_rmsd,all_methods,high,2100,0.9395238095238096,0.3342788368463516,0.9102564102564102,0.9392622346509136,,,0.8885714285714286,0.05095238095238108
oracle_min_rmsd,all_methods,low,528,0.231060606060606,5.001321315765381,0.68,0.2680201538600677,,,0.1382575757575757,0.0928030303030303
oracle_min_rmsd,all_methods,mid,2099,0.6102906145783706,1.3267371654510498,0.6923076923076923,0.5112051886328396,,,0.4826107670319199,0.12767984754645073
pair_rank_ordinary_thr0.5,all_methods,all,4727,0.6143431351808758,1.166992425918579,0.6959165942658557,0.6742088057849301,0.5983269164692225,0.0357460129689925,0.6244975671673366,-0.010154431986460821
pair_rank_ordinary_thr0.5,all_methods,high,2100,0.8828571428571429,0.4510284513235092,0.7668202764976959,0.939262234650914,0.5983269164692225,0.0357460129689925,0.8885714285714286,-0.005714285714285672
pair_rank_ordinary_thr0.5,all_methods,low,528,0.1212121212121212,8.319469451904297,0.4795081967213114,0.2680201538600677,0.5983269164692225,0.0357460129689925,0.1382575757575757,-0.01704545454545449
pair_rank_ordinary_thr0.5,all_methods,mid,2099,0.4697474988089566,2.1827800273895264,0.671120246659815,0.5112051886328398,0.5983269164692225,0.0357460129689925,0.4826107670319199,-0.012863268222963298
pair_rank_confidence_ordinary_thr0.5,all_methods,all,4727,0.6225936111698752,1.141711711883545,0.6966824644549763,0.6742088057849301,0.6977889954318497,0.0827875437406646,0.6244975671673366,-0.001903955997461404
pair_rank_confidence_ordinary_thr0.5,all_methods,high,2100,0.8895238095238095,0.4465191066265106,0.7744262295081967,0.939262234650914,0.6977889954318497,0.0827875437406646,0.8885714285714286,0.0009523809523809268
