detector,target_coverage,flagged_fraction,retained_success,retained_success_ci_low,retained_success_ci_high,failure_capture_rate,failure_capture_ci_low,failure_capture_ci_high,actionable_flag_rate,actionable_flag_ci_low,actionable_flag_ci_high
rank,0.95,0.05,0.6376391982182628,0.6105718717166158,0.6647352938730676,0.08338028169014085,0.07158770321052524,0.0920685524879405,0.12236286919831224,0.07337134410305142,0.1649036873968079
rank,0.9,0.1,0.6450399623883404,0.6190302169660618,0.6737906741706631,0.14929577464788732,0.1358621362601454,0.16518744390519413,0.1226215644820296,0.09567307692307693,0.15537168776922072
rank,0.8,0.2,0.6691351494313673,0.6403932035416862,0.6968164889954225,0.2952112676056338,0.27357310585213723,0.3158638347468135,0.12473572938689217,0.10315269964324918,0.1484147179814334
rank,0.7,0.3,0.6874244256348246,0.65843477127083,0.7131360538348718,0.41746478873239434,0.39205313851395623,0.438410539970332,0.12050739957716702,0.10096847421655675,0.1399671386133351
rank,0.6,0.4,0.7087447108603667,0.6812232125229676,0.7382535024575506,0.5346478873239436,0.5128883385138588,0.5610464377600609,0.11581173982020095,0.10109564539811462,0.133023098055078
rank,0.5,0.5,0.7266187050359711,0.696269769974139,0.7543631432355576,0.636056338028169,0.6107999179362534,0.6604925301621214,0.10829103214890017,0.09513742071881606,0.12561880612893064
rank_confidence,0.95,0.05,0.6514476614699332,0.6236387493863988,0.6799278682356565,0.11830985915492957,0.10912016223652744,0.1270969266566484,0.1308016877637131,0.08264462809917356,0.17420444033302496
rank_confidence,0.9,0.1,0.6748942172073342,0.6472028012501447,0.7045261212626833,0.2208450704225352,0.207214432174846,0.23716340804323638,0.12050739957716702,0.08525044223070477,0.1560875419470864
rank_confidence,0.8,0.2,0.7244115313409152,0.6961950095360269,0.7554834188676542,0.41295774647887323,0.38988649993709196,0.43894843054816063,0.13530655391120508,0.11200126253197974,0.16471336236060144
rank_confidence,0.7,0.3,0.7726723095525998,0.7448361455979718,0.8017718046920612,0.5763380281690141,0.5488127255998301,0.6041868011013207,0.15010570824524314,0.12526645488514446,0.17310842314952546
rank_confidence,0.6,0.4,0.81311706629055,0.7864115781987243,0.8375704460033881,0.7014084507042253,0.6778484294802201,0.7255214614323029,0.14595452141723955,0.1273403390899389,0.1671548231964505
rank_confidence,0.5,0.5,0.8480744815911976,0.8236871721223438,0.8736785934942117,0.7977464788732395,0.7748288930507279,0.8207386393292881,0.13663282571912014,0.11850696046762037,0.15508711737920564
reference_neighborhood_only,0.95,0.05,0.6507795100222717,0.6228418962732006,0.6780407014635826,0.11661971830985915,0.10305641770643406,0.1285259213784146,0.10126582278481013,0.05083759762994883,0.16206492089470811
reference_neighborhood_only,0.9,0.1,0.6779501645510109,0.6488286000552792,0.7066494723476012,0.22816901408450704,0.20942851317424363,0.24817660696268468,0.09090909090909091,0.06296452009844135,0.1369553893903977
reference_neighborhood_only,0.8,0.2,0.7270563343030945,0.6972936588065053,0.7555222190719266,0.41859154929577463,0.38852741205957764,0.44663760224519655,0.113107822410148,0.08440585272584766,0.14270945627994525
reference_neighborhood_only,0.7,0.3,0.7687424425634825,0.7439469399233567,0.8015162925682378,0.5690140845070423,0.5392259339707132,0.6106280985144852,0.11557434813248767,0.09452679490772375,0.1402828174100245
reference_neighborhood_only,0.6,0.4,0.8053596614950634,0.7791777018187127,0.8347104089953933,0.6890140845070423,0.6604867492543024,0.7234011984706384,0.1121099947117927,0.09491679946662979,0.1326928764527831
reference_neighborhood_only,0.5,0.5,0.8518831993228946,0.8184392105153387,0.8766346264855075,0.8028169014084507,0.7654178695677915,0.8285768850153649,0.11379018612521151,0.09744662408576532,0.1285903238921263
rank_confidence_structure,0.95,0.05,0.6550111358574611,0.6244025036910935,0.684386978395209,0.12732394366197183,0.11741024033386376,0.1360994244977124,0.14345991561181434,0.1,0.1946277223473875
rank_confidence_structure,0.9,0.1,0.684532204983545,0.6545949267573234,0.7159243475790414,0.24394366197183098,0.2284544750672175,0.2634582563782328,0.14587737843551796,0.11354534799855752,0.19528095942081047
rank_confidence_structure,0.8,0.2,0.7466278762232214,0.713878790238215,0.7776942369788481,0.4602816901408451,0.43305941709225,0.48983949166106927,0.16701902748414377,0.14025695931477516,0.19864188128865504
rank_confidence_structure,0.7,0.3,0.7995767835550182,0.769715952718707,0.8331038961038961,0.6264788732394366,0.5964818438104855,0.6652705094991365,0.15926708949964763,0.13728073753773354,0.1830175026231747
rank_confidence_structure,0.6,0.4,0.8501410437235544,0.8217170652195418,0.8782601765159904,0.7605633802816901,0.7291236494597839,0.7911877834369386,0.15441565309360128,0.13544826207688523,0.1740688286401519
rank_confidence_structure,0.5,0.5,0.890393567498942,0.8651773334105187,0.9147434487188124,0.8540845070422535,0.8281515439388525,0.8797470579547039,0.1455160744500846,0.12797956933599117,0.16244442931201125
rank_confidence_structure_reference_neighborhood,0.95,0.05,0.6547884187082406,0.6259656258788143,0.6854356306080618,0.1267605633802817,0.11716101359898798,0.13826914568850338,0.11814345991561181,0.0635593220338983,0.17418608362591764
rank_confidence_structure_reference_neighborhood,0.9,0.1,0.6875881523272214,0.6581877468096028,0.7200039760215317,0.2512676056338028,0.23358066104689898,0.27337286701790764,0.12473572938689217,0.08742771293039121,0.16613886387030366
rank_confidence_structure_reference_neighborhood,0.8,0.2,0.7550912457021952,0.7231667371990775,0.7875276530673996,0.4783098591549296,0.4521335430277664,0.5102793539938891,0.13636363636363635,0.11029434273332153,0.16633817427385889
rank_confidence_structure_reference_neighborhood,0.7,0.3,0.8216444981862152,0.78771122409283,0.8505812295898537,0.6676056338028169,0.6326847212772245,0.7019609067403185,0.14799154334038056,0.12325245435539267,0.17067457464653724
rank_confidence_structure_reference_neighborhood,0.6,0.4,0.8765867418899859,0.8489122258303975,0.9000101807552496,0.8028169014084507,0.7733787618420336,0.8315125958394447,0.14648334214701217,0.12695258363662534,0.16699828550803103
rank_confidence_structure_reference_neighborhood,0.5,0.5,0.9153618281845112,0.8920806758963988,0.9349828196612598,0.8873239436619719,0.8633678470879549,0.9085607155019939,0.14382402707275804,0.12598952048353884,0.16134467100046257
rank_confidence_structure_reference_neighborhood_shuffled,0.95,0.05,0.6538975501113586,0.6248350256897266,0.6826901150794495,0.12450704225352113,0.1146925977527583,0.1354476089834773,0.1518987341772152,0.10061882493583207,0.19446412916423142
rank_confidence_structure_reference_neighborhood_shuffled,0.9,0.1,0.6838269863657733,0.6538895963155835,0.7135831136589894,0.24225352112676057,0.22553611420286263,0.2596588976538357,0.160676532769556,0.12701286116983793,0.20022151898734178
rank_confidence_structure_reference_neighborhood_shuffled,0.8,0.2,0.7434541126686062,0.7127419901869981,0.7719776571622959,0.4535211267605634,0.4274079503978253,0.4796514024305716,0.16173361522198731,0.13635322395818775,0.18944803131522148
rank_confidence_structure_reference_neighborhood_shuffled,0.7,0.3,0.7980652962515115,0.7653945042757999,0.8273441998071573,0.6236619718309859,0.5920061071949441,0.6537142949628146,0.160676532769556,0.13807538802660754,0.18299261001568073
rank_confidence_structure_reference_neighborhood_shuffled,0.6,0.4,0.8427362482369535,0.8143002305563686,0.8684743853269034,0.7487323943661972,0.7198422230803971,0.7765524613468807,0.15441565309360128,0.13539525053917478,0.17327999145716377
