detector,scope,n,failure_rate,auroc,auprc,brier,ece_10bin,mean_risk
rank,all,4727,0.37550243283266344,0.6485817206763616,0.5058998291307321,0.23531187537035025,0.11248335569046294,0.4798350915808369
rank,high,2100,0.11142857142857143,0.6696301792764815,0.19789442344659583,0.22415682544932658,0.334302663016996,0.4457312344455674
rank,low,528,0.8617424242424242,0.6150534397109739,0.9026516471881558,0.21684517835494302,0.29495499555966764,0.5667874286827566
rank,mid,2099,0.51738923296808,0.6038120456169247,0.5971839009539984,0.25111750703222957,0.07741971727551031,0.49208247890539725
rank_confidence,all,4727,0.37550243283266344,0.8192014008168251,0.7233738021787273,0.172121397016886,0.06723995580854594,0.4351800098780712
rank_confidence,high,2100,0.11142857142857143,0.808657624975953,0.3754601535355392,0.14378371540413917,0.1898549879884703,0.30128355941704166
rank_confidence,low,528,0.8617424242424242,0.7808821315670631,0.9545487494940689,0.1476270392260651,0.17095731522988095,0.6907851090125432
rank_confidence,mid,2099,0.51738923296808,0.7549240172417868,0.7529380073978579,0.2066340946349526,0.07036746310028498,0.5048432083655227
reference_neighborhood_only,all,4727,0.37550243283266344,0.8187965189511051,0.7268405305669692,0.17864939557157714,0.09731287716886644,0.42313997914554197
reference_neighborhood_only,high,2100,0.11142857142857143,0.6584643324997023,0.18896519448866886,0.10775469585618436,0.07095611768358945,0.12294029589196401
reference_neighborhood_only,low,528,0.8617424242424242,0.5916152340809875,0.9026581318971578,0.1403678354571176,0.13018028662278683,0.9055898423084464
reference_neighborhood_only,mid,2099,0.51738923296808,0.6541389196431655,0.6535627343748386,0.2592075342770366,0.16769267457130818,0.6021232126293439
rank_confidence_ligand,all,4727,0.37550243283266344,0.8495070422535211,0.7680055934759029,0.15579987652294158,0.05345886886405614,0.41960473883596255
rank_confidence_ligand,high,2100,0.11142857142857143,0.8378736453495296,0.43300565114887674,0.11613186047669256,0.13271587272788393,0.24414444415645534
rank_confidence_ligand,low,528,0.8617424242424242,0.8047267800692457,0.9631268500364409,0.14170022982098243,0.15728055672759458,0.7044618675148298
rank_confidence_ligand,mid,2099,0.51738923296808,0.7714545166972998,0.7750120503194504,0.19903353405307844,0.06436230262052885,0.5234932833259689
rank_confidence_structure,all,4727,0.37550243283266344,0.8748538112141685,0.8087188173148324,0.14242833522118592,0.05036804692040475,0.4150623722922467
rank_confidence_structure,high,2100,0.11142857142857143,0.8631951887578897,0.521055878423052,0.10297884547191383,0.10942312509100649,0.22085169651957792
rank_confidence_structure,low,528,0.8617424242424242,0.8274875809122385,0.9678758325312281,0.12930918410362094,0.12755144045503364,0.7341909837873907
rank_confidence_structure,mid,2099,0.51738923296808,0.802745705460687,0.8111736142116233,0.1851967202919556,0.06104927342396781,0.5290892957096685
rank_confidence_memory,all,4727,0.37550243283266344,0.8776361693194397,0.8159053067825219,0.1423562209022631,0.06466644576168105,0.41279828071925057
rank_confidence_memory,high,2100,0.11142857142857143,0.8050436969247259,0.3529394212870748,0.08832181096081647,0.03748374404246423,0.11414710472949548
rank_confidence_memory,low,528,0.8617424242424242,0.805178383260575,0.9603108431868574,0.10181664870454635,0.06131710015636157,0.902921412819508
rank_confidence_memory,mid,2099,0.51738923296808,0.7671599773842441,0.7717633894093577,0.20661403652752858,0.10126493976278036,0.5883020710144149
rank_confidence_structure_reference_neighborhood,all,4727,0.37550243283266344,0.9030705370433987,0.8467298668733021,0.12502748103226435,0.05496950771890535,0.4057718700529542
rank_confidence_structure_reference_neighborhood,high,2100,0.11142857142857143,0.8577651359001841,0.5178420998588629,0.07393836951164447,0.02998894032484701,0.10506452088655821
rank_confidence_structure_reference_neighborhood,low,528,0.8617424242424242,0.809844949570977,0.9521507183801725,0.0963422734077844,0.06576055839189848,0.9056727186351662
rank_confidence_structure_reference_neighborhood,mid,2099,0.51738923296808,0.8151416484413492,0.8161670117588697,0.1833566491213674,0.08131062040570554,0.5808732446113265
rank_confidence_structure_reference_neighborhood_shuffled,all,4727,0.37550243283266344,0.8673144013130273,0.7962688165422454,0.1469431708578882,0.054166260636356156,0.41345198583911363
rank_confidence_structure_reference_neighborhood_shuffled,high,2100,0.11142857142857143,0.8600232683833969,0.5194035444559519,0.10347193748407651,0.10996539924968883,0.22139397067826022
rank_confidence_structure_reference_neighborhood_shuffled,low,528,0.8617424242424242,0.8174619900647297,0.9658491090086915,0.13673689461724892,0.13794104736687915,0.7238013768755451
rank_confidence_structure_reference_neighborhood_shuffled,mid,2099,0.51738923296808,0.7878918443294265,0.7934466003555123,0.19300248669403022,0.06847970399926628,0.5275336215563867
