selector,method,memory_bin,n,success,median_rmsd,pb_valid_all,pair_auroc,pair_auprc
nested_pair_rank_structure_antimemory_low_success,all_methods,all,4727,0.6299978844933362,1.093890905380249,0.6755193268472258,0.7687795592046951,0.17495975968487992
nested_pair_rank_structure_antimemory_low_success,all_methods,high,2100,0.8919047619047619,0.4441942423582077,0.7657342657342657,0.7687795592046951,0.17495975968487992
nested_pair_rank_structure_antimemory_low_success,all_methods,low,528,0.15151515151515152,8.14870548248291,0.41755888650963596,0.7687795592046951,0.17495975968487992
nested_pair_rank_structure_antimemory_low_success,all_methods,mid,2099,0.4883277751310148,2.0807418823242188,0.654320987654321,0.7687795592046951,0.17495975968487992
nested_pair_rank_structure_antimemory_low_success,af3,all,697,0.6556671449067432,0.9695582985877992,0.6634768740031898,0.7687795592046951,0.17495975968487992
nested_pair_rank_structure_antimemory_low_success,af3,high,300,0.93,0.33224132657051086,0.7857142857142857,0.7687795592046951,0.17495975968487992
nested_pair_rank_structure_antimemory_low_success,af3,low,97,0.20618556701030927,7.197169780731201,0.32954545454545453,0.7687795592046951,0.17495975968487992
nested_pair_rank_structure_antimemory_low_success,af3,mid,300,0.5266666666666666,1.7901875972747803,0.6447876447876448,0.7687795592046951,0.17495975968487992
nested_pair_rank_structure_antimemory_low_success,af3_no_template,all,697,0.6542324246771879,1.0119236707687378,0.6236220472440945,0.7687795592046951,0.17495975968487992
nested_pair_rank_structure_antimemory_low_success,af3_no_template,high,300,0.92,0.3469553589820862,0.7359154929577465,0.7687795592046951,0.17495975968487992
nested_pair_rank_structure_antimemory_low_success,af3_no_template,low,97,0.1958762886597938,7.625801086425781,0.26666666666666666,0.7687795592046951,0.17495975968487992
nested_pair_rank_structure_antimemory_low_success,af3_no_template,mid,300,0.5366666666666666,1.7465534210205078,0.6245210727969349,0.7687795592046951,0.17495975968487992
nested_pair_rank_structure_antimemory_low_success,boltz,all,670,0.608955223880597,1.2693835496902466,0.5134706814580031,0.7687795592046951,0.17495975968487992
nested_pair_rank_structure_antimemory_low_success,boltz,high,300,0.8466666666666667,0.5935752093791962,0.5818815331010453,0.7687795592046951,0.17495975968487992
nested_pair_rank_structure_antimemory_low_success,boltz,low,70,0.08571428571428572,7.857880353927612,0.2608695652173913,0.7687795592046951,0.17495975968487992
nested_pair_rank_structure_antimemory_low_success,boltz,mid,300,0.49333333333333335,2.041030168533325,0.5054545454545455,0.7687795592046951,0.17495975968487992
nested_pair_rank_structure_antimemory_low_success,boltz1x,all,666,0.6156156156156156,1.166130781173706,0.9181102362204724,0.7687795592046951,0.17495975968487992
nested_pair_rank_structure_antimemory_low_success,boltz1x,high,300,0.8466666666666667,0.5503106117248535,0.9315068493150684,0.7687795592046951,0.17495975968487992
nested_pair_rank_structure_antimemory_low_success,boltz1x,low,66,0.06060606060606061,7.1792778968811035,0.8253968253968254,0.7687795592046951,0.17495975968487992
nested_pair_rank_structure_antimemory_low_success,boltz1x,mid,300,0.5066666666666667,1.9689433574676514,0.925,0.7687795592046951,0.17495975968487992
nested_pair_rank_structure_antimemory_low_success,boltz2,all,630,0.6984126984126984,0.9397163987159728,,0.7687795592046951,0.17495975968487992
nested_pair_rank_structure_antimemory_low_success,boltz2,high,300,0.9133333333333333,0.43619489669799805,,0.7687795592046951,0.17495975968487992
nested_pair_rank_structure_antimemory_low_success,boltz2,low,31,0.0967741935483871,9.546725273132324,,0.7687795592046951,0.17495975968487992
nested_pair_rank_structure_antimemory_low_success,boltz2,mid,299,0.5451505016722408,1.718833088874817,,0.7687795592046951,0.17495975968487992
nested_pair_rank_structure_antimemory_low_success,chai,all,680,0.5897058823529412,1.1583344340324402,0.6904761904761905,0.7687795592046951,0.17495975968487992
nested_pair_rank_structure_antimemory_low_success,chai,high,300,0.87,0.4435358196496963,0.8256227758007118,0.7687795592046951,0.17495975968487992
nested_pair_rank_structure_antimemory_low_success,chai,low,80,0.2125,9.581171989440918,0.5,0.7687795592046951,0.17495975968487992
nested_pair_rank_structure_antimemory_low_success,chai,mid,300,0.41,2.578707695007324,0.6051660516605166,0.7687795592046951,0.17495975968487992
nested_pair_rank_structure_antimemory_low_success,protenix,all,687,0.5909752547307132,1.2028934955596924,0.6434108527131783,0.7687795592046951,0.17495975968487992
nested_pair_rank_structure_antimemory_low_success,protenix,high,300,0.9166666666666666,0.4440109133720398,0.7328767123287672,0.7687795592046951,0.17495975968487992
nested_pair_rank_structure_antimemory_low_success,protenix,low,87,0.12643678160919541,12.757115364074709,0.4177215189873418,0.7687795592046951,0.17495975968487992
nested_pair_rank_structure_antimemory_low_success,protenix,mid,300,0.4,2.76643705368042,0.6131386861313869,0.7687795592046951,0.17495975968487992
nested_pair_rank_structure_memory_antimemory_low_success,all_methods,all,4727,0.627459276496721,1.1103932857513428,0.6947665308680664,0.8015322064462541,0.19678003919730766
nested_pair_rank_structure_memory_antimemory_low_success,all_methods,high,2100,0.8895238095238095,0.4467759281396866,0.7808661926308985,0.8015322064462541,0.19678003919730766
nested_pair_rank_structure_memory_antimemory_low_success,all_methods,low,528,0.1534090909090909,8.041750431060791,0.41629955947136565,0.8015322064462541,0.19678003919730766
nested_pair_rank_structure_memory_antimemory_low_success,all_methods,mid,2099,0.4845164363982849,2.1075210571289062,0.6890756302521008,0.8015322064462541,0.19678003919730766
nested_pair_rank_structure_memory_antimemory_low_success,af3,all,697,0.6614060258249641,1.0291846990585327,0.6849056603773584,0.8015322064462541,0.19678003919730766
nested_pair_rank_structure_memory_antimemory_low_success,af3,high,300,0.9133333333333333,0.33487965166568756,0.8047808764940239,0.8015322064462541,0.19678003919730766
nested_pair_rank_structure_memory_antimemory_low_success,af3,low,97,0.2268041237113402,7.8910441398620605,0.3258426966292135,0.8015322064462541,0.19678003919730766
nested_pair_rank_structure_memory_antimemory_low_success,af3,mid,300,0.55,1.840316891670227,0.6947368421052632,0.8015322064462541,0.19678003919730766
nested_pair_rank_structure_memory_antimemory_low_success,af3_no_template,all,697,0.6499282639885222,1.0298644304275513,0.6378986866791745,0.8015322064462541,0.19678003919730766
nested_pair_rank_structure_memory_antimemory_low_success,af3_no_template,high,300,0.9133333333333333,0.3484057337045669,0.7403100775193798,0.8015322064462541,0.19678003919730766
nested_pair_rank_structure_memory_antimemory_low_success,af3_no_template,low,97,0.18556701030927836,7.625801086425781,0.2976190476190476,0.8015322064462541,0.19678003919730766
nested_pair_rank_structure_memory_antimemory_low_success,af3_no_template,mid,300,0.5366666666666666,1.7465534210205078,0.6492146596858639,0.8015322064462541,0.19678003919730766
nested_pair_rank_structure_memory_antimemory_low_success,boltz,all,670,0.5925373134328358,1.3258420825004578,0.5531496062992126,0.8015322064462541,0.19678003919730766
nested_pair_rank_structure_memory_antimemory_low_success,boltz,high,300,0.8433333333333334,0.5858943462371826,0.6309523809523809,0.8015322064462541,0.19678003919730766
nested_pair_rank_structure_memory_antimemory_low_success,boltz,low,70,0.08571428571428572,7.3472607135772705,0.2698412698412698,0.8015322064462541,0.19678003919730766
nested_pair_rank_structure_memory_antimemory_low_success,boltz,mid,300,0.46,2.232825517654419,0.5440414507772021,0.8015322064462541,0.19678003919730766
nested_pair_rank_structure_memory_antimemory_low_success,boltz1x,all,666,0.6066066066066066,1.2191760540008545,0.9152542372881356,0.8015322064462541,0.19678003919730766
nested_pair_rank_structure_memory_antimemory_low_success,boltz1x,high,300,0.84,0.5569520890712738,0.9351145038167938,0.8015322064462541,0.19678003919730766
nested_pair_rank_structure_memory_antimemory_low_success,boltz1x,low,66,0.07575757575757576,7.1792778968811035,0.8095238095238095,0.8015322064462541,0.19678003919730766
nested_pair_rank_structure_memory_antimemory_low_success,boltz1x,mid,300,0.49,2.120688796043396,0.9223300970873787,0.8015322064462541,0.19678003919730766
nested_pair_rank_structure_memory_antimemory_low_success,boltz2,all,630,0.6952380952380952,0.9419732391834258,,0.8015322064462541,0.19678003919730766
nested_pair_rank_structure_memory_antimemory_low_success,boltz2,high,300,0.9133333333333333,0.44113336503505707,,0.8015322064462541,0.19678003919730766
nested_pair_rank_structure_memory_antimemory_low_success,boltz2,low,31,0.0967741935483871,8.908732414245605,,0.8015322064462541,0.19678003919730766
nested_pair_rank_structure_memory_antimemory_low_success,boltz2,mid,299,0.5384615384615384,1.7093514204025269,,0.8015322064462541,0.19678003919730766
nested_pair_rank_structure_memory_antimemory_low_success,chai,all,680,0.5926470588235294,1.2377394437789917,0.7080979284369114,0.8015322064462541,0.19678003919730766
nested_pair_rank_structure_memory_antimemory_low_success,chai,high,300,0.8766666666666667,0.4563005715608597,0.8313725490196079,0.8015322064462541,0.19678003919730766
nested_pair_rank_structure_memory_antimemory_low_success,chai,low,80,0.2,9.581171989440918,0.4868421052631579,0.8015322064462541,0.19678003919730766
nested_pair_rank_structure_memory_antimemory_low_success,chai,mid,300,0.41333333333333333,2.5934414863586426,0.635,0.8015322064462541,0.19678003919730766
nested_pair_rank_structure_memory_antimemory_low_success,protenix,all,687,0.5967976710334789,1.0665030479431152,0.6648745519713262,0.8015322064462541,0.19678003919730766
